"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.708236261E1,5.825500488E-1,-5.513610840E-1,9.823516846E0
1.718258234E1,6.208648682E-1,-4.651794434E-1,9.675079346E0
1.728277155E1,7.740936279E-1,-2.449035645E-1,9.670288086E0
1.738302179E1,1.202651978E0,-4.579925537E-1,9.722961426E0
1.748321100E1,4.891815186E-1,-2.449035645E-1,9.694229126E0
1.758343073E1,7.980346680E-1,-4.939117432E-1,9.708602905E0
1.768361994E1,7.860565186E-1,-2.209625244E-1,9.560150146E0
1.778380915E1,8.099975586E-1,-1.371765137E-1,9.193847656E0
1.788402887E1,8.554992676E-1,-4.029235840E-1,9.734939575E0
1.798421808E1,6.663513184E-1,-4.005279541E-1,9.548187256E0
1.808443781E1,9.368896484E-1,-4.005279541E-1,9.737319946E0
1.818465753E1,6.615600586E-1,-2.808227539E-1,9.778030396E0
1.828484674E1,7.309875488E-1,-4.125061035E-1,9.888168335E0
1.838506647E1,6.400146484E-1,-5.058746338E-1,9.907318115E0
1.848528620E1,3.551025391E-1,-6.255950928E-1,9.756484985E0
1.858547540E1,7.860565186E-1,-3.717956543E-1,9.598464966E0
1.868566461E1,8.818359375E-1,-4.460296631E-1,9.873794556E0
1.878588434E1,5.346679688E-1,-1.587219238E-1,9.682266235E0
1.888613458E1,2.114562988E-1,-5.370025635E-1,9.371017456E0
1.898629328E1,6.424102783E-1,-3.311004639E-1,9.409317017E0
1.908648248E1,5.801544189E-1,-2.281494141E-1,9.531433105E0
1.918670221E1,3.718719482E-1,-2.224731445E-2,9.665496826E0
1.928692194E1,4.173583984E-1,-4.819335938E-1,9.900131226E0
1.938711115E1,5.822753906E-2,-1.802673340E-1,9.679870605E0
1.948733087E1,5.554199219E-3,-5.226440430E-1,9.466781616E0
1.958752008E1,1.923065186E-1,-2.760314941E-1,9.892944336E0
1.968773981E1,3.598937988E-1,-4.412384033E-1,9.667892456E0
1.978792902E1,1.348419189E-1,-5.753021240E-1,9.718170166E0
1.988814874E1,4.795989990E-1,-3.430786133E-1,9.371017456E0
1.998833795E1,3.814392090E-1,-1.778717041E-1,9.811553955E0
2.008855768E1,4.341125488E-1,-5.178527832E-1,9.533813477E0
2.018877741E1,5.346679688E-1,-6.543121338E-1,9.569732666E0
2.028896662E1,1.214630127E0,-1.772415161E0,9.605651855E0
2.038918634E1,5.993194580E-1,-1.224136353E0,9.368621826E0
2.048937555E1,3.072204590E-1,-7.022094727E-1,1.031912231E1
2.058959528E1,9.249267578E-1,-2.744461060E0,8.614440918E0
2.068978449E1,-4.086456299E-1,-9.272613525E-1,1.098710632E1
2.079000421E1,1.015899658E0,-1.679031372E0,7.575363159E0
2.089019342E1,-1.043106079E0,-7.333221436E-1,1.052742004E1
2.099041315E1,4.864501953E-2,-9.104919434E-1,1.012757874E1
2.109060236E1,4.795989990E-1,-6.255950928E-1,9.636764526E0
2.119082208E1,-1.093750000E-1,-7.453002930E-1,9.722961426E0
2.129101129E1,8.818359375E-1,-2.138717651E0,9.100463867E0
2.139126154E1,-1.780517578E0,-2.991058350E0,9.854644775E0
2.149145075E1,3.206604004E0,-1.430038452E0,9.945617676E0
2.159167047E1,4.097244263E0,-4.398849487E0,8.533050537E0
2.169185968E1,5.272796631E0,-4.992614746E0,7.982376099E0
2.179204889E1,5.773178101E0,-4.274353027E0,4.951324463E0
2.189226862E1,7.868103027E0,-7.654968262E0,7.845901489E0
2.199245783E1,5.766006470E0,-3.192169189E0,3.222702026E0
2.209267755E1,5.579254150E0,-8.530426025E-1,6.441497803E-1
2.219286676E1,5.390106201E0,3.632202148E-1,4.328826904E0
2.229308649E1,6.110763550E0,2.103805542E0,1.343261719E0
2.239333673E1,4.892120361E0,5.561035156E0,-3.446502686E-1
2.249349542E1,-2.280914307E0,3.932968140E0,3.986357117E1
2.259368463E1,7.585601807E0,6.433410645E-1,2.772598267E0
2.269393488E1,5.200973511E0,1.727905273E0,9.722961426E0
2.279412409E1,4.691009521E0,2.043945312E0,1.023052979E1
2.289431330E1,2.895355225E0,1.986480713E0,1.007730103E1
2.299453302E1,2.411727905E0,2.869949341E0,7.261718750E0
2.309472223E1,3.249694824E0,4.354354858E0,7.443679810E0
2.319494196E1,3.311614990E-1,5.680740356E0,8.475585938E0
2.329516168E1,-6.387329102E-2,7.098114014E0,6.095748901E0
2.339535089E1,4.317169189E-1,6.887420654E0,4.932159424E0
2.349557062E1,1.039840698E0,7.050216675E0,8.145187378E0
2.359575983E1,2.258499146E0,6.765319824E0,6.193908691E0
2.369597956E1,7.716979980E-1,6.801223755E0,5.889846802E0
2.379616876E1,1.643188477E0,5.051071167E0,9.224975586E0
2.389638849E1,6.878967285E-1,5.472442627E0,8.147583008E0
2.399657770E1,-2.123260498E-1,5.589767456E0,7.678314209E0
