"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.752282282E1,-9.129333496E0,-1.891937256E1,-2.004089355E1
2.762353082E1,-9.429931641E0,-1.891937256E1,-1.943969727E1
2.772423883E1,-1.092987061E1,-1.804962158E1,-2.093963623E1
2.782494684E1,-1.092987061E1,-1.788024902E1,-2.183990479E1
2.792739435E1,-9.729003906E0,-1.752929688E1,-2.004089355E1
2.802761408E1,-1.033020020E1,-1.891937256E1,-1.884002686E1
2.812780329E1,-1.092987061E1,-1.649017334E1,-2.243957520E1
2.822802301E1,-1.002960205E1,-1.562042236E1,-2.154083252E1
2.832848688E1,-1.212921143E1,-1.407012939E1,-2.243957520E1
2.842919489E1,-1.362915039E1,-1.199035645E1,-2.304077148E1
2.852990290E1,-1.632995605E1,-1.199035645E1,-2.124023438E1
2.863061090E1,-2.023010254E1,-9.910583496E0,-2.124023438E1
2.873131891E1,-2.173004150E1,-1.094970703E1,-1.884002686E1
2.883202692E1,-2.382965088E1,-8.349609375E0,-1.914062500E1
2.893447443E1,-2.262878418E1,-9.219360352E0,-2.004089355E1
2.903469415E1,-1.962890625E1,-1.112060547E1,-2.274017334E1
2.913491388E1,-1.873016357E1,-1.423950195E1,-1.914062500E1
2.923510309E1,-1.842956543E1,-1.649017334E1,-1.764068604E1
2.933559748E1,-1.752929688E1,-1.788024902E1,-1.643981934E1
2.943627497E1,-2.023010254E1,-1.752929688E1,-1.643981934E1
2.953698297E1,-1.962890625E1,-1.717987061E1,-1.464080811E1
2.963769098E1,-2.052917480E1,-1.631927490E1,-1.793975830E1
2.973839899E1,-2.082977295E1,-1.475982666E1,-1.824035645E1
2.983913751E1,-1.842956543E1,-1.631927490E1,-1.614074707E1
2.994155451E1,-1.873016357E1,-1.649017334E1,-1.643981934E1
3.004177423E1,-1.842956543E1,-1.683959961E1,-1.403961182E1
3.014196344E1,-1.873016357E1,-1.683959961E1,-1.643981934E1
3.024215265E1,-1.962890625E1,-1.683959961E1,-1.764068604E1
3.034264704E1,-2.023010254E1,-1.613922119E1,-1.643981934E1
3.044335504E1,-1.932983398E1,-1.665954590E1,-1.614074707E1
3.054406305E1,-1.902923584E1,-1.580047607E1,-1.703948975E1
3.064477106E1,-1.932983398E1,-1.717987061E1,-1.703948975E1
3.074550958E1,-1.842956543E1,-1.683959961E1,-1.524047852E1
3.084618707E1,-1.842956543E1,-1.683959961E1,-1.643981934E1
3.094863458E1,-1.932983398E1,-1.596984863E1,-1.674041748E1
3.104885431E1,-1.902923584E1,-1.649017334E1,-1.584014893E1
3.114907404E1,-1.902923584E1,-1.596984863E1,-1.734008789E1
3.124923273E1,-1.902923584E1,-1.631927490E1,-1.614074707E1
3.134975763E1,-1.873016357E1,-1.701049805E1,-1.854095459E1
3.145043512E1,-1.632995605E1,-1.701049805E1,-1.914062500E1
3.155114313E1,-1.752929688E1,-1.701049805E1,-2.214050293E1
3.165185114E1,-1.602935791E1,-1.873931885E1,-2.154083252E1
3.175255915E1,-1.662902832E1,-1.909027100E1,-2.574005127E1
3.185326715E1,-1.902923584E1,-1.665954590E1,-2.754058838E1
3.195571466E1,-2.173004150E1,-1.284942627E1,-3.173980713E1
3.205590387E1,-2.352905273E1,-9.559631348E0,-3.384094238E1
3.215612360E1,-2.592926025E1,-1.078033447E1,-2.933959961E1
3.225631281E1,-2.713012695E1,-1.181030273E1,-2.754058838E1
3.235680719E1,-2.742919922E1,-1.215972900E1,-2.574005127E1
3.245751520E1,-2.922973633E1,-1.199035645E1,-2.483978271E1
3.255822321E1,-2.892913818E1,-1.302947998E1,-2.304077148E1
3.265893122E1,-3.072967529E1,-1.407012939E1,-2.304077148E1
3.275963922E1,-3.013000488E1,-1.510925293E1,-2.243957520E1
3.286034723E1,-2.892913818E1,-1.528015137E1,-2.214050293E1
3.296279474E1,-2.892913818E1,-1.562042236E1,-2.093963623E1
3.306298395E1,-2.802886963E1,-1.580047607E1,-2.183990479E1
3.316317316E1,-3.013000488E1,-1.544952393E1,-1.884002686E1
3.326342340E1,-3.042907715E1,-1.336975098E1,-1.643981934E1
3.336388727E1,-2.472991943E1,-1.407012939E1,-1.643981934E1
3.346460492E1,-1.902923584E1,-1.060028076E1,-1.943969727E1
3.356531293E1,-1.452941895E1,-4.379272461E0,-2.604064941E1
3.366602094E1,-8.529663086E0,4.980468750E0,-2.904052734E1
3.376672895E1,-2.229309082E0,1.277008057E1,-3.173980713E1
3.386743696E1,-3.729248047E0,2.436981201E1,-3.144073486E1
3.396988447E1,-5.229187012E0,3.459014893E1,-2.994079590E1
3.407010419E1,-9.429931641E0,4.723968506E1,-2.964019775E1
3.417026288E1,-1.422882080E1,5.209045410E1,-4.163970947E1
3.427051313E1,-1.392974854E1,4.741058350E1,-6.174011230E1
3.437097700E1,-2.082977295E1,4.031066895E1,-8.244018555E1
3.447168500E1,-3.642883301E1,2.523956299E1,-1.001403809E2
3.457239301E1,-5.229187012E0,1.069030762E1,-8.993988037E1
3.467310102E1,-1.902923584E1,1.502075195E1,-9.324035645E1
3.477380903E1,-1.752929688E1,1.710052490E1,-9.683990479E1
3.487451704E1,-1.302947998E1,1.000061035E1,-9.593963623E1
3.497696454E1,-2.142944336E1,5.149841309E0,-1.115402222E2
3.507715375E1,-2.382965088E1,-1.371917725E1,-1.154403687E2
3.517737348E1,-2.563018799E1,-1.078033447E1,-1.181396484E2
3.527756269E1,-2.532958984E1,-1.181030273E1,-1.175399780E2
3.537805707E1,-2.563018799E1,-1.026000977E1,-1.184402466E2
3.547876508E1,-2.742919922E1,-1.094970703E1,-1.196395874E2
3.557947309E1,-3.462982178E1,-3.680419922E0,-1.268402100E2
3.568018110E1,-3.462982178E1,4.699707031E-1,-1.286407471E2
3.578088910E1,-2.802886963E1,-1.770019531E1,-1.139404297E2
3.588159711E1,-2.592926025E1,-1.459045410E1,-1.151397705E2
3.598401410E1,-2.592926025E1,-1.423950195E1,-1.181396484E2
3.608426435E1,-2.532958984E1,-1.459045410E1,-1.151397705E2
3.618445356E1,-2.652893066E1,-1.250915527E1,-1.175399780E2
3.628464277E1,-2.652893066E1,-1.128997803E1,-1.190399170E2
3.638513715E1,-2.532958984E1,-1.320037842E1,-1.145401001E2
3.648584516E1,-2.682952881E1,-1.389007568E1,-1.151397705E2
3.658655317E1,-2.563018799E1,-1.215972900E1,-1.175399780E2
3.668726118E1,-2.682952881E1,-1.562042236E1,-1.139404297E2
3.678796918E1,-2.682952881E1,-1.199035645E1,-1.178405762E2
3.688870771E1,-2.713012695E1,-1.407012939E1,-1.166397095E2
3.699112470E1,-2.622985840E1,-1.354980469E1,-1.169403076E2
3.709131391E1,-2.802886963E1,-1.181030273E1,-1.181396484E2
3.719153364E1,-2.622985840E1,-1.215972900E1,-1.175399780E2
3.729172284E1,-2.682952881E1,-1.268005371E1,-1.166397095E2
3.739221723E1,-2.772979736E1,-1.199035645E1,-1.172409058E2
3.749292524E1,-2.682952881E1,-1.163940430E1,-1.154403687E2
3.759363325E1,-2.922973633E1,-1.389007568E1,-1.157409668E2
3.769437177E1,-2.742919922E1,-1.094970703E1,-1.172409058E2
3.779504926E1,-2.772979736E1,-1.492919922E1,-1.145401001E2
3.789575727E1,-2.832946777E1,-1.199035645E1,-1.172409058E2
3.799820478E1,-2.682952881E1,-1.407012939E1,-1.148406982E2
3.809839399E1,-2.713012695E1,-1.302947998E1,-1.142395020E2
3.819858320E1,-2.802886963E1,-1.250915527E1,-1.151397705E2
3.829880292E1,-2.772979736E1,-1.094970703E1,-1.178405762E2
3.839929731E1,-2.772979736E1,-1.284942627E1,-1.163406372E2
3.850000532E1,-2.802886963E1,-1.233062744E1,-1.160400391E2
3.860071332E1,-2.713012695E1,-1.112060547E1,-1.169403076E2
3.870142133E1,-2.922973633E1,-1.459045410E1,-1.145401001E2
3.880212934E1,-2.832946777E1,-1.094970703E1,-1.166397095E2
3.890283735E1,-2.922973633E1,-1.407012939E1,-1.166397095E2
3.900522382E1,-2.802886963E1,-1.320037842E1,-1.157409668E2
3.910547407E1,-2.742919922E1,-1.510925293E1,-1.148406982E2
3.920569379E1,-2.713012695E1,-1.268005371E1,-1.172409058E2
3.930588300E1,-2.682952881E1,-1.320037842E1,-1.175399780E2
3.940637739E1,-2.682952881E1,-1.078033447E1,-1.181396484E2
3.950708539E1,-2.682952881E1,-1.233062744E1,-1.160400391E2
3.960779340E1,-2.682952881E1,-1.163940430E1,-1.178405762E2
3.970850141E1,-2.563018799E1,-1.268005371E1,-1.166397095E2
