"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.438437824E1,1.087738037E0,6.872558594E-2,9.445236206E0
1.448462848E1,9.009857178E-1,2.028045654E-1,9.100463867E0
1.458484821E1,1.554595947E0,1.788635254E-1,9.655929565E0
1.468509845E1,1.104492188E0,-2.703857422E-2,1.025926208E1
1.478534869E1,7.740936279E-1,3.225097656E-1,8.655151367E0
1.488556842E1,1.427703857E0,1.788635254E-1,9.615219116E0
1.498581867E1,1.104492188E0,-7.971191406E-2,1.022573853E1
1.508603839E1,9.273223877E-1,1.764678955E-1,9.141174316E0
1.518628864E1,1.193069458E0,4.015197754E-1,9.050186157E0
1.528653888E1,1.523468018E0,1.429443359E-1,9.557754517E0
1.538675861E1,1.039840698E0,5.197143555E-2,1.013955688E1
1.548700885E1,8.531036377E-1,1.453399658E-1,9.153137207E0
1.558725909E1,1.370239258E0,3.129425049E-1,9.186660767E0
1.568747882E1,1.166732788E0,6.394958496E-2,1.022573853E1
1.578772906E1,9.345092773E-1,6.872558594E-2,9.672683716E0
1.588797931E1,8.291625977E-1,7.351684570E-2,9.050186157E0
1.598819904E1,1.370239258E0,5.355987549E-1,9.289611816E0
1.608844928E1,1.377426147E0,-7.731628418E-2,9.861831665E0
1.618866901E1,9.225311279E-1,1.812591553E-1,9.804367065E0
1.628891925E1,7.932434082E-1,1.621093750E-1,8.944839478E0
1.638913898E1,1.743743896E0,3.680114746E-1,9.421295166E0
1.648938922E1,9.871673584E-1,1.693725586E-3,1.004856873E1
1.658963946E1,8.602752686E-1,3.761291504E-2,9.641555786E0
1.668985919E1,8.914031982E-1,9.266662598E-2,9.339889526E0
1.679010944E1,1.418136597E0,5.116577148E-1,9.157928467E0
1.689032916E1,1.264907837E0,-1.778717041E-1,1.023052979E1
1.699057941E1,8.267669678E-1,1.836547852E-1,9.591278076E0
1.709082965E1,6.831054688E-1,1.309814453E-1,9.138778687E0
1.719104938E1,1.703033447E0,2.746276855E-1,9.849853516E0
1.729129962E1,1.118850708E0,6.632995605E-2,9.730148315E0
1.739154987E1,1.042236328E0,5.915832520E-2,9.612823486E0
1.749176959E1,7.645111084E-1,1.237945557E-1,9.035827637E0
1.759201984E1,1.492355347E0,3.177337646E-1,9.567337036E0
1.769223956E1,1.126037598E0,-1.946258545E-1,1.025686646E1
1.779248981E1,7.405700684E-1,2.554779053E-1,9.366226196E0
1.789274005E1,9.392852783E-1,1.405639648E-1,9.284820557E0
1.799299030E1,1.726989746E0,3.273010254E-1,9.473968506E0
1.809321002E1,1.080551147E0,9.506225586E-2,9.909713745E0
1.819342975E1,1.020690918E0,1.692810059E-1,9.220184326E0
1.829367999E1,1.049423218E0,1.812591553E-1,9.009490967E0
1.839389972E1,1.537841797E0,4.398345947E-1,9.780426025E0
1.849414996E1,1.224197388E0,-1.994171143E-1,9.878585815E0
1.859440021E1,9.033813477E-1,2.554779053E-1,9.232147217E0
1.869461993E1,8.602752686E-1,1.477355957E-1,9.409317017E0
1.879487018E1,1.782043457E0,2.482910156E-1,9.404525757E0
1.889508991E1,1.133224487E0,1.046447754E-1,1.024967957E1
1.899534015E1,7.884521484E-1,1.860504150E-1,8.748519897E0
1.909559039E1,1.365463257E0,2.123870850E-1,9.397354126E0
1.919581012E1,1.487564087E0,3.392791748E-1,9.957595825E0
1.929606036E1,1.085342407E0,-1.036529541E-1,9.665496826E0
1.939631061E1,8.650665283E-1,2.602691650E-1,9.112442017E0
1.949653034E1,8.866119385E-1,1.884460449E-1,9.414108276E0
1.959678058E1,1.760498047E0,2.099914551E-1,9.797180176E0
1.969703082E1,9.728088379E-1,-7.888793945E-3,9.959991455E0
1.979725055E1,9.081726074E-1,2.052001953E-1,9.047790527E0
1.989750079E1,9.297180176E-1,9.028625488E-2,9.287216187E0
1.999772052E1,1.554595947E0,5.140533447E-1,9.689437866E0
2.009797076E1,1.372634888E0,-1.635131836E-1,9.981536865E0
2.019822101E1,8.267669678E-1,3.033599854E-1,9.189056396E0
2.029844074E1,7.956390381E-1,6.632995605E-2,9.174682617E0
2.039869098E1,1.805984497E0,2.578735352E-1,9.818725586E0
2.049894122E1,9.847869873E-1,-1.266479492E-2,1.017785645E1
2.059916095E1,8.387298584E-1,1.597137451E-1,8.920898438E0
2.069941119E1,1.025482178E0,9.028625488E-2,9.320739746E0
2.079963092E1,1.676712036E0,4.733581543E-1,9.912109375E0
2.089988116E1,1.252929688E0,-1.228027344E-1,9.754089355E0
2.100017383E1,7.357788086E-1,3.416748047E-1,9.162719727E0
2.110039356E1,8.339385986E-1,1.046447754E-1,9.155532837E0
2.120064380E1,1.834716797E0,2.578735352E-1,9.981536865E0
2.130086353E1,8.937988281E-1,3.761291504E-2,1.000308228E1
2.140111378E1,8.794403076E-1,2.147827148E-1,8.853866577E0
2.150136402E1,1.018295288E0,5.436706543E-2,9.447631836E0
2.160158375E1,1.523468018E0,4.517974854E-1,9.967163086E0
2.170183399E1,1.176315308E0,-1.275939941E-1,9.974349976E0
2.180208423E1,7.884521484E-1,3.033599854E-1,8.985549927E0
2.190230396E1,9.536590576E-1,1.692810059E-1,9.361434937E0
2.200255421E1,1.839508057E0,2.004089355E-1,1.007490540E1
2.210277393E1,8.890075684E-1,-1.745605469E-2,9.866607666E0
2.220302418E1,9.584503174E-1,2.004089355E-1,9.019073486E0
2.230327442E1,9.967498779E-1,1.070404053E-1,9.287216187E0
2.240349415E1,1.643188477E0,2.961730957E-1,1.009884644E1
2.250374439E1,1.044631958E0,-1.347808838E-1,9.799575806E0
2.260396412E1,6.184692383E-1,2.937927246E-1,8.798797607E0
2.270424488E1,1.102096558E0,3.081512451E-1,9.591278076E0
2.280446460E1,1.868240356E0,1.549224854E-1,9.948013306E0
2.290471485E1,7.118377686E-1,-1.745605469E-2,9.849853516E0
2.300493458E1,7.549438477E-1,2.794189453E-1,9.054977417E0
2.310515430E1,1.173919678E0,9.266662598E-2,9.406921387E0
2.320540455E1,1.533050537E0,2.794189453E-1,1.023052979E1
2.330562427E1,9.632263184E-1,-5.097961426E-2,9.684661865E0
2.340590504E1,8.123931885E-1,2.147827148E-1,8.870620728E0
2.350612476E1,1.169128418E0,3.033599854E-1,9.610427856E0
2.360634449E1,1.753326416E0,1.357727051E-1,9.969558716E0
2.370659473E1,9.009857178E-1,6.872558594E-2,9.787612915E0
2.380684498E1,8.674621582E-1,1.788635254E-1,8.911331177E0
2.390706470E1,1.466018677E0,2.961730957E-1,9.423690796E0
2.400731495E1,1.422912598E0,2.004089355E-1,1.021377563E1
2.410756519E1,8.961944580E-1,5.436706543E-2,9.323135376E0
2.420778492E1,8.483123779E-1,1.645050049E-1,8.952026367E0
2.430803516E1,1.264907837E0,5.355987549E-1,9.756484985E0
2.440825489E1,1.339126587E0,-7.012939453E-2,1.024490356E1
2.450850513E1,8.243713379E-1,2.219543457E-1,9.251296997E0
2.460875538E1,8.028259277E-1,2.028045654E-1,8.980758667E0
2.470897510E1,1.868240356E0,2.626647949E-1,1.013237000E1
2.480922535E1,9.728088379E-1,-3.182983398E-2,9.835494995E0
2.490947559E1,8.937988281E-1,2.004089355E-1,9.083709717E0
2.500969532E1,9.464721680E-1,8.070373535E-2,9.301589966E0
2.510994556E1,1.533050537E0,4.182891846E-1,9.801971436E0
2.521016529E1,1.250534058E0,-1.443481445E-1,1.007250977E1
2.531041553E1,8.123931885E-1,2.794189453E-1,9.083709717E0
2.541066578E1,8.076019287E-1,1.166076660E-1,9.292007446E0
2.551091602E1,1.779647827E0,3.392791748E-1,9.902526855E0
2.561113575E1,1.130828857E0,3.521728516E-2,9.866607666E0
2.571135547E1,9.081726074E-1,1.477355957E-1,9.205810547E0
2.581160572E1,7.286071777E-1,1.213989258E-1,9.129196167E0
2.591182544E1,1.614456177E0,4.278564453E-1,9.849853516E0
2.601210621E1,1.195465088E0,-2.089996338E-1,1.003181458E1
2.611232593E1,7.597198486E-1,3.201293945E-1,8.995117188E0
2.621257618E1,8.171844482E-1,1.237945557E-1,9.397354126E0
2.631279590E1,1.865844727E0,3.440704346E-1,9.699020386E0
2.641304615E1,1.133224487E0,3.999328613E-2,9.952804565E0
2.651326588E1,9.129486084E-1,2.602691650E-1,9.131591797E0
2.661351612E1,8.459167480E-1,7.112121582E-2,9.157928467E0
2.671376636E1,1.698257446E0,4.494018555E-1,1.005575562E1
2.681398609E1,1.114074707E0,-1.922302246E-1,9.816329956E0
2.691423633E1,8.650665283E-1,3.201293945E-1,9.007095337E0
2.701445606E1,8.195800781E-1,6.394958496E-2,9.387771606E0
2.711470630E1,1.779647827E0,2.961730957E-1,9.828308105E0
2.721495655E1,1.027877808E0,-4.139709473E-2,1.013237000E1
2.731517628E1,8.937988281E-1,2.363281250E-1,8.930480957E0
2.741542652E1,8.650665283E-1,5.197143555E-2,9.299194336E0
2.751567676E1,1.614456177E0,5.044708252E-1,9.981536865E0
2.761589649E1,1.255325317E0,-2.281494141E-1,9.799575806E0
2.771614673E1,7.812805176E-1,3.033599854E-1,9.035827637E0
2.781636646E1,8.243713379E-1,1.453399658E-1,9.224975586E0
2.791661671E1,1.794021606E0,2.770233154E-1,9.969558716E0
2.801686695E1,8.866119385E-1,8.880615234E-3,1.003900146E1
2.811708668E1,8.123931885E-1,2.794189453E-1,8.767669678E0
2.821733692E1,1.008728027E0,8.070373535E-2,9.588882446E0
2.831758716E1,1.655151367E0,4.613800049E-1,9.979141235E0
2.841780689E1,1.142791748E0,-1.443481445E-1,9.849853516E0
2.851805714E1,8.315582275E-1,3.608245850E-1,9.002304077E0
2.861827686E1,9.416809082E-1,1.453399658E-1,9.308761597E0
2.871852711E1,1.834716797E0,2.961730957E-1,1.002941895E1
2.881874683E1,8.770446777E-1,-1.745605469E-2,9.785217285E0
2.891899708E1,9.368896484E-1,2.746276855E-1,8.873016357E0
2.901924732E1,9.943542480E-1,8.309936523E-2,9.552978516E0
2.911946705E1,1.683883667E0,4.111022949E-1,9.904922485E0
2.921971729E1,1.121246338E0,-2.018127441E-1,9.871398926E0
2.931993702E1,7.190246582E-1,4.326477051E-1,8.772460938E0
2.942018726E1,1.011123657E0,2.123870850E-1,9.404525757E0
2.952043751E1,1.925704956E0,1.980133057E-1,1.010603333E1
2.962065723E1,7.597198486E-1,6.394958496E-2,9.667892456E0
2.972090748E1,9.201354980E-1,3.273010254E-1,8.940063477E0
2.982115772E1,1.169128418E0,8.070373535E-2,9.500305176E0
2.992137745E1,1.566574097E0,3.416748047E-1,1.011801147E1
3.002162769E1,9.704132080E-1,-1.108398438E-1,9.627197266E0
3.012184742E1,8.267669678E-1,3.368835449E-1,8.868225098E0
3.022209766E1,9.704132080E-1,1.740722656E-1,9.670288086E0
3.032234791E1,1.892181396E0,2.866058350E-1,9.854644775E0
3.042256763E1,8.818359375E-1,-2.703857422E-2,9.811553955E0
3.052281788E1,8.937988281E-1,3.009643555E-1,8.870620728E0
3.062306812E1,1.094909668E0,8.070373535E-2,9.416503906E0
3.072328785E1,1.583328247E0,3.105468750E-1,1.026405334E1
3.082353809E1,9.799957275E-1,-1.084442139E-1,9.505096436E0
3.092377874E1,7.357788086E-1,3.033599854E-1,8.925689697E0
3.102399846E1,1.068572998E0,2.554779053E-1,9.727752686E0
3.112424871E1,1.889785767E0,1.812591553E-1,9.904922485E0
3.122446843E1,7.333831787E-1,6.394958496E-2,9.754089355E0
3.132471868E1,8.315582275E-1,2.578735352E-1,8.916122437E0
3.142493841E1,1.401367188E0,1.980133057E-1,9.476364136E0
3.152518865E1,1.576141357E0,3.560333252E-1,1.007490540E1
3.162543889E1,9.273223877E-1,-2.066040039E-1,9.531433105E0
3.172565862E1,8.554992676E-1,2.890014648E-1,9.088500977E0
3.182590886E1,9.752044678E-1,1.884460449E-1,9.627197266E0
3.192612859E1,1.853881836E0,5.676269531E-2,1.008688354E1
3.202637883E1,7.908477783E-1,1.046447754E-1,9.646347046E0
3.212662908E1,7.453613281E-1,2.291412354E-1,8.817947388E0
3.222684880E1,1.341522217E0,1.692810059E-1,9.646347046E0
3.232709905E1,1.578536987E0,3.392791748E-1,9.988723755E0
3.242734929E1,1.118850708E0,-1.036529541E-1,9.694229126E0
3.252756902E1,8.195800781E-1,4.063110352E-1,9.098068237E0
3.262781926E1,1.126037598E0,3.081512451E-1,9.399749756E0
3.272803899E1,1.571365356E0,-1.108398438E-1,1.010603333E1
3.282828924E1,9.273223877E-1,8.070373535E-2,9.813934326E0
3.292853948E1,7.669067383E-1,2.770233154E-1,8.884994507E0
3.302878972E1,1.171524048E0,1.501312256E-1,9.840270996E0
3.312900945E1,1.595306396E0,3.727874756E-1,9.622406006E0
3.322925969E1,1.224197388E0,-4.196929932E-1,1.002941895E1
3.332947942E1,4.412994385E-1,-2.113952637E-1,9.409317017E0
3.342972966E1,1.343917847E0,2.563476562E-2,9.272857666E0
3.352997991E1,1.884994507E0,-1.745605469E-2,9.710998535E0
3.363019964E1,6.208648682E-1,3.999328613E-2,9.519454956E0
3.373044988E1,6.495971680E-1,-4.379272461E-2,9.404525757E0
3.383066961E1,1.822753906E0,4.182891846E-1,9.715774536E0
3.393091985E1,1.351089478E0,4.063110352E-1,8.961608887E0
3.403117009E1,1.288848877E0,8.540344238E-1,9.382980347E0
3.413138982E1,9.967498779E-1,1.021621704E0,9.816329956E0
3.423164006E1,1.228988647E0,1.399902344E0,9.811553955E0
3.433185979E1,9.752044678E-1,1.569900513E0,9.327911377E0
3.443211004E1,1.202651978E0,1.495681763E0,1.000068665E1
