"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.230231647E1,1.396179199E-2,-1.112365723E-2,-1.844787598E-2
1.240256671E1,2.243041992E-3,-1.541137695E-3,8.193969727E-3
1.250281696E1,-6.271362305E-3,1.870727539E-2,3.936767578E-3
1.260306720E1,-3.082275391E-3,-4.730224609E-3,-1.310729980E-2
1.270328693E1,2.035522461E-2,-2.709960938E-2,9.262084961E-3
1.280350665E1,1.190185547E-3,1.338195801E-2,1.884460449E-2
1.290375690E1,-9.460449219E-4,-2.070617676E-2,-3.356933594E-4
1.300397662E1,1.184082031E-2,2.716064453E-3,-8.850097656E-3
1.310422687E1,-8.407592773E-3,8.056640625E-3,1.458740234E-2
1.320447711E1,-8.407592773E-3,5.950927734E-4,-2.456665039E-3
1.330469684E1,3.311157227E-3,-3.662109375E-3,-2.056884766E-2
1.340494708E1,9.704589844E-3,-1.219177246E-2,1.670837402E-2
1.350519733E1,-8.407592773E-3,2.189636230E-2,4.989624023E-3
1.360541705E1,-3.082275391E-3,-3.662109375E-3,-2.056884766E-2
1.370569782E1,1.502990723E-2,-1.644897461E-2,4.989624023E-3
1.380591754E1,-9.460449219E-4,5.920410156E-3,1.458740234E-2
1.390613727E1,-8.407592773E-3,8.056640625E-3,3.936767578E-3
1.400638751E1,-2.014160156E-3,-1.432800293E-2,-5.661010742E-3
1.410663776E1,9.704589844E-3,-4.730224609E-3,-1.524353027E-2
1.420685748E1,1.220703125E-4,6.988525391E-3,1.670837402E-2
1.430710773E1,-9.475708008E-3,1.017761230E-2,6.057739258E-3
1.440732745E1,1.184082031E-2,-6.866455078E-3,-1.844787598E-2
1.450757770E1,1.609802246E-2,-1.325988770E-2,7.125854492E-3
1.460779742E1,-8.407592773E-3,1.976013184E-2,6.057739258E-3
1.470804767E1,1.190185547E-3,-5.798339844E-3,-5.661010742E-3
1.480829791E1,1.502990723E-2,-3.562927246E-2,1.565551758E-2
1.490851764E1,-1.586914062E-2,2.296447754E-2,1.031494141E-2
1.500876788E1,-9.475708008E-3,5.950927734E-4,-1.950073242E-2
1.510901813E1,1.077270508E-2,-1.325988770E-2,-1.098632812E-2
1.520923785E1,1.289367676E-2,5.950927734E-4,1.565551758E-2
1.530948810E1,-6.271362305E-3,8.056640625E-3,7.324218750E-4
1.540973834E1,-1.159667969E-2,-1.541137695E-3,-1.098632812E-2
1.550995807E1,7.568359375E-3,-1.644897461E-2,-1.205444336E-2
1.561020831E1,5.447387695E-3,1.663208008E-3,1.351928711E-2
1.571042804E1,-1.052856445E-2,1.231384277E-2,1.138305664E-2
1.581067828E1,1.220703125E-4,-6.866455078E-3,-1.098632812E-2
1.591092853E1,1.289367676E-2,-5.798339844E-3,-4.592895508E-3
1.601114825E1,1.289367676E-2,5.950927734E-4,1.884460449E-2
1.611139850E1,-8.407592773E-3,1.124572754E-2,-1.403808594E-3
1.621161823E1,-4.150390625E-3,-4.730224609E-3,-1.310729980E-2
1.631186847E1,1.823425293E-2,-1.432800293E-2,3.936767578E-3
1.641208820E1,1.220703125E-4,1.124572754E-2,7.125854492E-3
1.651233844E1,-1.586914062E-2,3.784179688E-3,-1.403808594E-3
1.661258868E1,-6.271362305E-3,-4.730224609E-3,-1.950073242E-2
1.671280841E1,1.077270508E-2,-1.541137695E-3,-7.781982422E-3
1.681305866E1,3.311157227E-3,-4.730224609E-4,1.565551758E-2
1.691330890E1,-1.480102539E-2,1.124572754E-2,-5.661010742E-3
1.701352863E1,1.220703125E-4,-1.112365723E-2,-8.850097656E-3
1.711377887E1,9.704589844E-3,-2.609252930E-3,1.800537109E-3
1.721399860E1,1.220703125E-4,1.443481445E-2,7.125854492E-3
1.731424884E1,-5.203247070E-3,5.950927734E-4,8.193969727E-3
1.741449909E1,-2.014160156E-3,-3.662109375E-3,-1.737976074E-2
1.751471881E1,1.396179199E-2,-1.432800293E-2,7.125854492E-3
1.761496906E1,-5.203247070E-3,1.870727539E-2,1.458740234E-2
1.771521930E1,-1.052856445E-2,3.784179688E-3,-1.417541504E-2
1.781543903E1,-9.460449219E-4,-1.219177246E-2,-7.781982422E-3
1.791565875E1,1.396179199E-2,-1.541137695E-3,4.989624023E-3
1.801593951E1,8.636474609E-3,5.920410156E-3,1.031494141E-2
1.811615924E1,-7.339477539E-3,1.663208008E-3,2.868652344E-3
1.821640948E1,4.379272461E-3,-1.325988770E-2,-2.163696289E-2
1.831662921E1,1.502990723E-2,-1.112365723E-2,1.458740234E-2
1.841687946E1,-2.014160156E-3,1.657104492E-2,1.991271973E-2
1.851709918E1,-3.082275391E-3,-1.541137695E-3,-1.310729980E-2
1.861734943E1,1.190185547E-3,-9.002685547E-3,-7.781982422E-3
1.871759967E1,8.636474609E-3,-4.730224609E-4,1.800537109E-3
1.881781940E1,-2.014160156E-3,1.338195801E-2,6.057739258E-3
1.891806964E1,-6.271362305E-3,-2.609252930E-3,-3.524780273E-3
1.901828937E1,1.077270508E-2,-1.965332031E-2,-1.417541504E-2
1.911857013E1,4.379272461E-3,6.988525391E-3,1.245117188E-2
1.921878986E1,-7.339477539E-3,9.109497070E-3,1.458740234E-2
1.931900958E1,-9.460449219E-4,-3.662109375E-3,-1.310729980E-2
1.941925983E1,3.311157227E-3,-1.112365723E-2,-7.781982422E-3
1.951951007E1,7.568359375E-3,5.950927734E-4,1.800537109E-3
1.961976032E1,-4.150390625E-3,1.870727539E-2,1.031494141E-2
1.971998004E1,-2.014160156E-3,-3.662109375E-3,3.936767578E-3
1.982019977E1,4.379272461E-3,-1.219177246E-2,-2.270507812E-2
1.992045001E1,1.396179199E-2,-4.730224609E-3,6.057739258E-3
2.002070026E1,-2.014160156E-3,1.231384277E-2,1.884460449E-2
2.012091998E1,-3.082275391E-3,4.852294922E-3,-7.781982422E-3
2.022117023E1,1.220703125E-4,-1.644897461E-2,-6.729125977E-3
2.032138995E1,6.515502930E-3,5.950927734E-4,-3.524780273E-3
2.042164020E1,-3.082275391E-3,2.296447754E-2,1.138305664E-2
2.052189044E1,-4.150390625E-3,-2.609252930E-3,2.868652344E-3
2.062211017E1,9.704589844E-3,-1.432800293E-2,-1.417541504E-2
2.072236041E1,6.515502930E-3,5.950927734E-4,7.324218750E-4
2.082261066E1,1.190185547E-3,1.550292969E-2,1.777648926E-2
2.092287281E1,1.220703125E-4,5.950927734E-4,-7.781982422E-3
2.102312305E1,1.190185547E-3,-1.325988770E-2,-1.205444336E-2
2.112334278E1,7.568359375E-3,-2.609252930E-3,-3.356933594E-4
2.122362354E1,-7.339477539E-3,2.403259277E-2,7.125854492E-3
2.132381275E1,-9.460449219E-4,-1.219177246E-2,-1.403808594E-3
2.142406299E1,3.311157227E-3,-1.325988770E-2,-2.056884766E-2
2.152431324E1,4.379272461E-3,4.852294922E-3,3.936767578E-3
2.162453296E1,-4.150390625E-3,1.231384277E-2,1.777648926E-2
2.172478321E1,-2.014160156E-3,5.950927734E-4,-1.205444336E-2
2.182503345E1,4.379272461E-3,-1.858520508E-2,-9.918212891E-3
2.192525318E1,5.447387695E-3,4.852294922E-3,8.193969727E-3
2.202550342E1,-6.271362305E-3,1.870727539E-2,9.262084961E-3
2.212572315E1,-2.014160156E-3,-1.005554199E-2,-3.356933594E-4
2.222597339E1,7.568359375E-3,-1.005554199E-2,-1.737976074E-2
2.232622364E1,4.379272461E-3,-4.730224609E-4,9.262084961E-3
2.242644336E1,-9.475708008E-3,2.082824707E-2,1.245117188E-2
2.252669361E1,1.220703125E-4,-5.798339844E-3,-1.844787598E-2
2.262694385E1,9.704589844E-3,-1.751708984E-2,-3.356933594E-4
2.272719410E1,1.220703125E-4,1.231384277E-2,1.245117188E-2
2.282741382E1,-5.203247070E-3,1.763916016E-2,-3.524780273E-3
2.292763355E1,-5.203247070E-3,-1.219177246E-2,6.057739258E-3
2.302788380E1,5.447387695E-3,-1.325988770E-2,-1.844787598E-2
2.312813404E1,3.311157227E-3,3.784179688E-3,8.193969727E-3
2.322835376E1,-6.271362305E-3,1.550292969E-2,1.458740234E-2
2.332860401E1,2.243041992E-3,-1.219177246E-2,-1.737976074E-2
2.342885425E1,4.379272461E-3,-9.002685547E-3,-1.205444336E-2
2.352907398E1,4.379272461E-3,8.056640625E-3,1.351928711E-2
2.362932422E1,-2.014160156E-3,1.443481445E-2,3.936767578E-3
2.372954395E1,-9.460449219E-4,-1.751708984E-2,-4.592895508E-3
2.382979420E1,6.515502930E-3,-4.730224609E-3,-2.270507812E-2
2.393001392E1,5.447387695E-3,1.231384277E-2,1.777648926E-2
2.403026417E1,-7.339477539E-3,1.231384277E-2,1.031494141E-2
2.413051441E1,3.311157227E-3,-2.177429199E-2,-1.737976074E-2
2.423073414E1,9.704589844E-3,-5.798339844E-3,-3.524780273E-3
2.433098438E1,-3.082275391E-3,4.852294922E-3,2.203369141E-2
2.443123463E1,-1.052856445E-2,1.763916016E-2,-4.592895508E-3
2.453145435E1,4.379272461E-3,-2.177429199E-2,-1.417541504E-2
2.463170460E1,5.447387695E-3,-4.730224609E-3,8.193969727E-3
2.473192432E1,-4.150390625E-3,2.082824707E-2,8.193969727E-3
2.483217457E1,1.220703125E-4,-5.798339844E-3,7.324218750E-4
2.493242481E1,3.311157227E-3,-1.432800293E-2,-1.524353027E-2
2.503264454E1,7.568359375E-3,2.716064453E-3,-1.403808594E-3
2.513289478E1,1.220703125E-4,1.550292969E-2,1.458740234E-2
2.523311451E1,-4.150390625E-3,1.663208008E-3,-5.661010742E-3
2.533336475E1,3.311157227E-3,-1.858520508E-2,-1.417541504E-2
2.543361500E1,7.568359375E-3,1.663208008E-3,2.868652344E-3
2.553386524E1,-2.014160156E-3,1.550292969E-2,1.245117188E-2
2.563408497E1,-2.014160156E-3,-1.541137695E-3,2.868652344E-3
2.573433521E1,-9.460449219E-4,-1.644897461E-2,-1.844787598E-2
2.583455494E1,9.704589844E-3,-7.934570312E-3,2.868652344E-3
2.593480518E1,-7.339477539E-3,2.403259277E-2,1.670837402E-2
2.603502491E1,1.220703125E-4,-2.609252930E-3,-1.098632812E-2
2.613527515E1,1.220703125E-4,-1.538085938E-2,-1.098632812E-2
2.623552540E1,6.515502930E-3,3.784179688E-3,2.868652344E-3
2.633574512E1,2.243041992E-3,1.124572754E-2,1.458740234E-2
2.643599537E1,-4.150390625E-3,-1.541137695E-3,2.868652344E-3
2.653624561E1,3.311157227E-3,-1.858520508E-2,-2.163696289E-2
2.663646534E1,7.568359375E-3,5.950927734E-4,3.936767578E-3
2.673671558E1,-6.271362305E-3,1.976013184E-2,1.670837402E-2
2.683696583E1,1.220703125E-4,-2.609252930E-3,-1.205444336E-2
2.693718555E1,1.220703125E-4,-1.538085938E-2,-9.918212891E-3
2.703743580E1,8.636474609E-3,4.852294922E-3,-2.456665039E-3
2.713765552E1,-9.460449219E-4,1.870727539E-2,1.351928711E-2
2.723790577E1,-3.082275391E-3,-4.730224609E-4,1.800537109E-3
2.733815601E1,2.243041992E-3,-1.751708984E-2,-2.589416504E-2
2.743837574E1,4.379272461E-3,2.716064453E-3,6.057739258E-3
2.753862598E1,1.220703125E-4,1.443481445E-2,2.416992188E-2
2.763887623E1,2.243041992E-3,-2.609252930E-3,-8.850097656E-3
2.773909595E1,3.311157227E-3,-1.538085938E-2,-8.850097656E-3
2.783934620E1,8.636474609E-3,-3.662109375E-3,3.936767578E-3
2.793956592E1,-6.271362305E-3,2.615356445E-2,1.138305664E-2
2.803981617E1,1.220703125E-4,-1.005554199E-2,-1.403808594E-3
2.814003589E1,4.379272461E-3,-1.432800293E-2,-1.844787598E-2
2.824028614E1,6.515502930E-3,5.920410156E-3,8.193969727E-3
2.834053638E1,-5.203247070E-3,1.231384277E-2,1.458740234E-2
2.844075611E1,-9.460449219E-4,-3.662109375E-3,-8.850097656E-3
2.854100635E1,2.243041992E-3,-1.538085938E-2,-1.205444336E-2
2.864122608E1,6.515502930E-3,2.716064453E-3,4.989624023E-3
2.874147632E1,-8.407592773E-3,2.296447754E-2,8.193969727E-3
2.884172657E1,1.220703125E-4,-1.538085938E-2,-1.403808594E-3
2.894197681E1,4.379272461E-3,-7.934570312E-3,-1.631164551E-2
2.904219654E1,5.447387695E-3,2.716064453E-3,9.262084961E-3
2.914241626E1,-6.271362305E-3,1.550292969E-2,1.245117188E-2
2.924266651E1,1.220703125E-4,-4.730224609E-3,-1.417541504E-2
2.934288624E1,3.311157227E-3,-1.538085938E-2,-7.781982422E-3
2.944316700E1,1.220703125E-4,5.920410156E-3,8.193969727E-3
2.954338672E1,-6.271362305E-3,1.976013184E-2,4.989624023E-3
2.964363697E1,-9.460449219E-4,-1.644897461E-2,7.324218750E-4
2.974385670E1,4.379272461E-3,-9.002685547E-3,-2.056884766E-2
2.984410694E1,2.243041992E-3,3.784179688E-3,1.031494141E-2
2.994432667E1,-7.339477539E-3,1.443481445E-2,1.245117188E-2
3.004457691E1,4.379272461E-3,-1.432800293E-2,-1.737976074E-2
3.014479664E1,1.190185547E-3,-1.005554199E-2,-9.918212891E-3
3.024504688E1,4.379272461E-3,1.017761230E-2,8.193969727E-3
3.034529713E1,-2.014160156E-3,1.657104492E-2,4.989624023E-3
3.044554737E1,1.220703125E-4,-1.219177246E-2,2.868652344E-3
3.054576710E1,4.379272461E-3,-1.005554199E-2,-1.844787598E-2
3.064601734E1,3.311157227E-3,1.663208008E-3,1.245117188E-2
3.074623707E1,-1.052856445E-2,1.657104492E-2,1.351928711E-2
3.084648731E1,4.379272461E-3,-1.538085938E-2,-1.950073242E-2
3.094672796E1,5.447387695E-3,-9.002685547E-3,-6.729125977E-3
3.104694768E1,1.190185547E-3,9.109497070E-3,1.351928711E-2
3.114719793E1,-5.203247070E-3,1.657104492E-2,1.800537109E-3
3.124741765E1,-3.082275391E-3,-1.538085938E-2,-3.356933594E-4
3.134766790E1,6.515502930E-3,-7.934570312E-3,-1.844787598E-2
3.144791814E1,6.515502930E-3,9.109497070E-3,1.670837402E-2
3.154813787E1,-6.271362305E-3,1.124572754E-2,1.351928711E-2
3.164838811E1,-9.460449219E-4,-7.934570312E-3,-1.844787598E-2
3.174863836E1,2.243041992E-3,-7.934570312E-3,-8.850097656E-3
3.184885808E1,4.379272461E-3,4.852294922E-3,1.138305664E-2
3.194910833E1,-7.339477539E-3,2.082824707E-2,2.868652344E-3
3.204932805E1,1.220703125E-4,-1.965332031E-2,-3.524780273E-3
3.214957830E1,4.379272461E-3,-6.866455078E-3,-1.417541504E-2
3.224982854E1,3.311157227E-3,1.017761230E-2,1.351928711E-2
3.235004827E1,-1.052856445E-2,2.189636230E-2,1.245117188E-2
3.245029851E1,8.636474609E-3,-5.798339844E-3,-1.737976074E-2
3.255054876E1,1.184082031E-2,-7.934570312E-3,-8.850097656E-3
3.265076848E1,6.515502930E-3,1.663208008E-3,1.031494141E-2
3.275101873E1,-2.014160156E-3,1.870727539E-2,1.800537109E-3
3.285123845E1,4.379272461E-3,-9.002685547E-3,-7.781982422E-3
3.295148870E1,1.396179199E-2,-4.730224609E-3,-2.056884766E-2
3.305170842E1,-3.082275391E-3,8.056640625E-3,8.193969727E-3
3.315195867E1,-6.271362305E-3,6.988525391E-3,6.057739258E-3
3.325220891E1,-1.799011230E-2,4.852294922E-3,-1.844787598E-2
3.335242864E1,-3.082275391E-3,-1.538085938E-2,-1.098632812E-2
3.345267888E1,6.515502930E-3,8.056640625E-3,7.125854492E-3
3.355292913E1,1.190185547E-3,9.109497070E-3,-3.524780273E-3
3.365314885E1,1.220703125E-4,-6.866455078E-3,-1.737976074E-2
3.375339910E1,5.447387695E-3,-1.541137695E-3,-7.781982422E-3
3.385364934E1,1.289367676E-2,1.763916016E-2,1.245117188E-2
3.395386907E1,2.142333984E-2,-5.798339844E-3,-2.456665039E-3
3.405411931E1,2.568054199E-2,3.784179688E-3,-7.781982422E-3
3.415436956E1,2.888488770E-2,-7.934570312E-3,6.057739258E-3
3.425458928E1,2.142333984E-2,-6.866455078E-3,-3.524780273E-3
3.435483953E1,-9.460449219E-4,8.056640625E-3,7.125854492E-3
3.445505925E1,8.636474609E-3,-4.730224609E-4,4.989624023E-3
3.455530950E1,-9.475708008E-3,3.784179688E-3,1.884460449E-2
3.465555974E1,8.636474609E-3,-2.070617676E-2,1.670837402E-2
3.475580999E1,-5.203247070E-3,1.017761230E-2,1.245117188E-2
3.485599920E1,-1.052856445E-2,-4.730224609E-4,1.991271973E-2
