"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.241115406E1,4.921569824E1,-1.800689697E1,1.562500000E0
2.251140430E1,4.891510010E1,-1.783599854E1,1.261901855E0
2.261165455E1,4.921569824E1,-1.835632324E1,3.631591797E-1
2.271184376E1,4.951477051E1,-1.835632324E1,-8.377075195E-1
2.281242969E1,4.981536865E1,-1.869659424E1,-2.380371094E-1
2.291313770E1,4.891510010E1,-1.817626953E1,2.462768555E0
2.301384571E1,4.981536865E1,-1.869659424E1,-1.437377930E0
2.311455372E1,4.861602783E1,-1.835632324E1,-2.380371094E-1
2.321526172E1,4.891510010E1,-1.835632324E1,-2.380371094E-1
2.331596973E1,4.861602783E1,-1.748657227E1,6.256103516E-2
2.341670826E1,4.831542969E1,-1.679687500E1,-5.371093750E-1
2.351878956E1,4.921569824E1,-1.713562012E1,6.256103516E-2
2.361903980E1,4.981536865E1,-1.713562012E1,-2.337646484E0
2.371929004E1,4.861602783E1,-1.713562012E1,-5.371093750E-1
2.381950977E1,4.951477051E1,-1.748657227E1,-1.737976074E0
2.392021778E1,4.951477051E1,-1.835632324E1,2.162170410E0
2.402092579E1,4.921569824E1,-1.765594482E1,3.631591797E-1
2.412163380E1,4.981536865E1,-1.713562012E1,-1.136779785E0
2.422234180E1,4.891510010E1,-1.783599854E1,6.622314453E-1
2.432301929E1,5.011596680E1,-1.748657227E1,6.256103516E-2
2.442375782E1,5.011596680E1,-1.852569580E1,6.256103516E-2
2.452620533E1,4.921569824E1,-1.800689697E1,1.562500000E0
2.462642505E1,4.861602783E1,-1.713562012E1,6.622314453E-1
2.472667530E1,4.801483154E1,-1.679687500E1,-1.737976074E0
2.482689503E1,4.891510010E1,-1.765594482E1,3.631591797E-1
2.492726734E1,4.921569824E1,-1.748657227E1,6.256103516E-2
2.502800586E1,4.921569824E1,-1.869659424E1,3.631591797E-1
2.512871387E1,4.921569824E1,-1.679687500E1,-5.371093750E-1
2.522942188E1,4.891510010E1,-1.887664795E1,6.256103516E-2
2.533012989E1,4.861602783E1,-1.783599854E1,-1.737976074E0
2.543083790E1,4.891510010E1,-1.765594482E1,-3.837585449E0
2.553154590E1,4.981536865E1,-1.887664795E1,1.261901855E0
2.563384083E1,4.861602783E1,-1.817626953E1,-5.371093750E-1
2.573409107E1,5.041503906E1,-1.938629150E1,1.562500000E0
2.583431080E1,4.861602783E1,-1.869659424E1,9.628295898E-1
2.593456104E1,4.921569824E1,-1.835632324E1,-2.380371094E-1
2.603508594E1,4.921569824E1,-1.800689697E1,-8.377075195E-1
2.613579395E1,4.951477051E1,-1.869659424E1,-8.377075195E-1
2.623650196E1,4.801483154E1,-1.765594482E1,3.631591797E-1
2.633720997E1,4.921569824E1,-1.765594482E1,-2.380371094E-1
2.643791797E1,4.861602783E1,-1.748657227E1,6.622314453E-1
2.653862598E1,4.891510010E1,-1.783599854E1,-5.371093750E-1
2.663933399E1,4.951477051E1,-1.817626953E1,-1.136779785E0
2.674147632E1,4.891510010E1,-1.713562012E1,-5.371093750E-1
2.684169605E1,4.951477051E1,-1.835632324E1,3.631591797E-1
2.694194630E1,4.921569824E1,-1.835632324E1,-2.380371094E-1
2.704219654E1,4.891510010E1,-1.783599854E1,-1.136779785E0
2.714287403E1,4.861602783E1,-1.748657227E1,6.256103516E-2
2.724358204E1,4.921569824E1,-1.835632324E1,3.631591797E-1
2.734429004E1,4.951477051E1,-1.904602051E1,1.562500000E0
2.744499805E1,4.921569824E1,-1.748657227E1,-1.737976074E0
2.754570606E1,4.951477051E1,-1.783599854E1,6.256103516E-2
2.764641407E1,4.921569824E1,-1.835632324E1,3.631591797E-1
2.774886158E1,4.981536865E1,-1.817626953E1,2.462768555E0
2.784911182E1,4.921569824E1,-1.835632324E1,-8.377075195E-1
2.794936207E1,4.861602783E1,-1.661682129E1,-2.380371094E-1
2.804958179E1,4.891510010E1,-1.783599854E1,-1.136779785E0
2.814995411E1,4.951477051E1,-1.765594482E1,-2.037048340E0
2.825066212E1,4.861602783E1,-1.765594482E1,1.562500000E0
2.835140064E1,4.891510010E1,-1.765594482E1,-2.380371094E-1
2.845207813E1,4.951477051E1,-1.869659424E1,3.631591797E-1
2.855278614E1,4.891510010E1,-1.835632324E1,1.562500000E0
2.865349415E1,4.861602783E1,-1.817626953E1,-5.371093750E-1
2.875420215E1,4.891510010E1,-1.765594482E1,-2.380371094E-1
2.885649708E1,4.831542969E1,-1.765594482E1,-1.437377930E0
2.895677784E1,4.891510010E1,-1.817626953E1,6.622314453E-1
2.905696705E1,4.891510010E1,-1.835632324E1,3.631591797E-1
2.915721729E1,4.921569824E1,-1.869659424E1,2.162170410E0
2.925774219E1,4.891510010E1,-1.783599854E1,-1.136779785E0
2.935845020E1,4.951477051E1,-1.835632324E1,2.162170410E0
2.945912769E1,4.891510010E1,-1.852569580E1,6.622314453E-1
2.955986622E1,4.861602783E1,-1.748657227E1,6.256103516E-2
2.966057422E1,4.981536865E1,-1.765594482E1,-2.037048340E0
2.976128223E1,4.921569824E1,-1.852569580E1,1.863098145E0
2.986199024E1,4.981536865E1,-1.783599854E1,6.622314453E-1
2.996413257E1,5.011596680E1,-1.783599854E1,6.622314453E-1
3.006438282E1,5.071563721E1,-1.817626953E1,1.261901855E0
3.016460254E1,4.951477051E1,-1.817626953E1,-5.371093750E-1
3.026485279E1,4.891510010E1,-1.783599854E1,1.261901855E0
3.036553028E1,5.041503906E1,-1.835632324E1,-2.380371094E-1
3.046623829E1,4.891510010E1,-1.731567383E1,3.631591797E-1
3.056694630E1,4.831542969E1,-1.817626953E1,6.256103516E-2
3.066765430E1,4.891510010E1,-1.835632324E1,3.631591797E-1
3.076836231E1,4.891510010E1,-1.852569580E1,2.462768555E0
3.086907032E1,4.951477051E1,-1.852569580E1,6.256103516E-2
3.097150823E1,4.891510010E1,-1.817626953E1,6.622314453E-1
3.107175847E1,4.981536865E1,-1.869659424E1,3.631591797E-1
3.117200872E1,4.861602783E1,-1.817626953E1,-5.371093750E-1
3.127222844E1,4.861602783E1,-1.800689697E1,-2.380371094E-1
3.137260076E1,4.921569824E1,-1.731567383E1,-8.377075195E-1
3.147330877E1,4.801483154E1,-1.696624756E1,-1.437377930E0
3.157401677E1,4.921569824E1,-1.835632324E1,-2.037048340E0
3.167472478E1,4.921569824E1,-1.783599854E1,6.256103516E-2
3.177543279E1,4.891510010E1,-1.783599854E1,-1.136779785E0
3.187614080E1,4.921569824E1,-1.904602051E1,1.562500000E0
3.197684881E1,5.011596680E1,-1.887664795E1,-1.136779785E0
3.207917425E1,5.011596680E1,-1.904602051E1,-2.380371094E-1
3.217939397E1,4.951477051E1,-1.800689697E1,9.628295898E-1
3.227964422E1,4.891510010E1,-1.817626953E1,6.622314453E-1
3.237986394E1,4.921569824E1,-1.835632324E1,-2.380371094E-1
3.248038884E1,4.981536865E1,-1.817626953E1,-5.371093750E-1
3.258109685E1,4.981536865E1,-1.869659424E1,3.631591797E-1
