"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.990064810E1,5.566253662E1,4.815673828E0,3.594970703E0
7.000135611E1,5.386199951E1,5.334472656E0,5.094909668E0
7.010206411E1,5.536193848E1,5.154418945E0,4.794311523E0
7.020277212E1,5.536193848E1,5.334472656E0,4.493713379E0
7.030351065E1,5.566253662E1,4.815673828E0,6.594848633E0
7.040601919E1,5.566253662E1,4.295349121E0,5.094909668E0
7.050617788E1,5.506134033E1,3.775024414E0,7.194519043E0
7.060633658E1,5.566253662E1,4.295349121E0,5.094909668E0
7.070652578E1,5.566253662E1,4.115295410E0,4.794311523E0
7.080702017E1,5.536193848E1,4.295349121E0,5.094909668E0
7.090772818E1,5.506134033E1,4.635620117E0,4.493713379E0
7.100843618E1,5.506134033E1,4.815673828E0,4.194641113E0
7.110914419E1,5.656280518E1,3.594970703E0,6.893920898E0
7.120985220E1,5.566253662E1,3.944396973E0,5.694580078E0
7.131056021E1,5.506134033E1,3.594970703E0,5.094909668E0
7.141276358E1,5.506134033E1,4.464721680E0,4.194641113E0
7.151295279E1,5.506134033E1,4.295349121E0,5.094909668E0
7.161311148E1,5.536193848E1,5.154418945E0,4.794311523E0
7.171336172E1,5.536193848E1,3.775024414E0,5.995178223E0
7.181410025E1,5.596160889E1,3.775024414E0,5.393981934E0
7.191480825E1,5.566253662E1,3.425598145E0,6.594848633E0
7.201551626E1,5.506134033E1,3.594970703E0,5.694580078E0
7.211622427E1,5.626220703E1,3.775024414E0,5.995178223E0
7.221693228E1,5.566253662E1,3.944396973E0,5.094909668E0
7.231937979E1,5.506134033E1,3.944396973E0,3.894042969E0
7.241953848E1,5.656280518E1,3.594970703E0,5.094909668E0
7.251972769E1,5.626220703E1,3.425598145E0,6.594848633E0
7.261991690E1,5.566253662E1,4.295349121E0,5.094909668E0
7.272047232E1,5.506134033E1,4.115295410E0,4.794311523E0
7.282118032E1,5.566253662E1,3.594970703E0,5.694580078E0
7.292188833E1,5.446166992E1,4.295349121E0,4.493713379E0
7.302259634E1,5.476226807E1,3.074645996E0,5.995178223E0
7.312333487E1,5.536193848E1,3.594970703E0,7.495117188E0
7.322401236E1,5.626220703E1,3.074645996E0,4.794311523E0
7.332615469E1,5.536193848E1,3.254699707E0,6.893920898E0
7.342631338E1,5.476226807E1,4.295349121E0,4.493713379E0
