"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.014011989E0,9.632263184E-1,3.895568848E-1,9.421295166E0
8.114170681E0,9.895629883E-1,2.842102051E-1,9.931259155E0
8.214359890E0,5.155181885E-1,3.296966553E-1,9.957595825E0
8.314518581E0,6.974792480E-1,2.985687256E-1,9.610427856E0
8.414707790E0,9.680175781E-1,4.158935547E-1,9.263275146E0
8.514866481E0,9.273223877E-1,2.530822754E-1,9.830703735E0
8.615055690E0,8.650665283E-1,1.884460449E-1,9.718170166E0
8.715214382E0,5.251007080E-1,3.344879150E-1,9.469177246E0
8.815403591E0,1.604873657E0,3.249053955E-1,9.526641846E0
8.915592800E0,1.176315308E0,1.142272949E-1,9.924072266E0
9.015751491E0,7.309875488E-1,4.957580566E-2,9.732543945E0
9.115940700E0,7.645111084E-1,2.291412354E-1,9.586486816E0
9.216099392E0,1.037445068E0,4.302520752E-1,9.461990356E0
9.316258083E0,8.387298584E-1,4.757385254E-1,1.009167480E1
9.416447292E0,5.873413086E-1,1.788635254E-1,9.701416016E0
9.516636501E0,1.166732788E0,2.147827148E-1,9.282424927E0
9.616795192E0,1.008728027E0,3.009643555E-1,9.689437866E0
9.716984401E0,7.381744385E-1,2.890014648E-1,9.885772705E0
9.817143093E0,5.203094482E-1,1.716766357E-1,9.713378906E0
9.917332302E0,9.464721680E-1,3.081512451E-1,9.258483887E0
1.001749099E1,1.126037598E0,2.291412354E-1,9.895339966E0
1.011768020E1,9.536590576E-1,1.190032959E-1,9.694229126E0
1.021786941E1,4.795989990E-1,1.860504150E-1,9.567337036E0
1.031802810E1,1.049423218E0,4.206848145E-1,9.366226196E0
1.041818679E1,1.135620117E0,3.584289551E-1,9.667892456E0
1.051840652E1,8.291625977E-1,2.147827148E-1,9.825912476E0
1.061859573E1,6.543731689E-1,1.549224854E-1,9.672683716E0
1.071872390E1,9.847869873E-1,3.416748047E-1,9.378204346E0
1.081891311E1,1.037445068E0,2.458953857E-1,1.005096436E1
1.091907180E1,8.291625977E-1,2.075958252E-1,9.679870605E0
1.101926101E1,5.274810791E-1,1.453399658E-1,9.605651855E0
1.111941970E1,1.073364258E0,4.206848145E-1,9.390167236E0
1.121960891E1,9.081726074E-1,-8.450317383E-2,8.643173218E0
1.131979812E1,1.693466187E0,-2.209625244E-1,9.907318115E0
1.141995681E1,5.825500488E-1,2.770233154E-1,9.682266235E0
1.152011551E1,8.890075684E-1,4.374389648E-1,9.277633667E0
1.162033523E1,8.650665283E-1,2.219543457E-1,9.813934326E0
1.172049392E1,7.645111084E-1,2.866058350E-1,9.701416016E0
1.182068313E1,6.472015381E-1,2.602691650E-1,9.689437866E0
1.192084182E1,1.044631958E0,3.153381348E-1,9.359039307E0
1.202100052E1,8.339385986E-1,2.482910156E-1,9.837890625E0
1.212118972E1,8.147888184E-1,2.123870850E-1,9.718170166E0
1.222137893E1,7.046661377E-1,2.028045654E-1,9.579315186E0
1.232153762E1,1.059005737E0,3.847656250E-1,9.394958496E0
1.242172683E1,8.028259277E-1,1.261901855E-1,9.854644775E0
1.252188552E1,8.507080078E-1,2.171783447E-1,9.744506836E0
1.262207473E1,6.472015381E-1,3.225097656E-1,9.749298096E0
1.272223342E1,9.680175781E-1,3.129425049E-1,9.394958496E0
1.282242263E1,8.243713379E-1,2.578735352E-1,9.869003296E0
1.292258133E1,7.669067383E-1,1.740722656E-1,9.818725586E0
1.302277053E1,6.902923584E-1,3.296966553E-1,9.433258057E0
1.312292923E1,9.943542480E-1,4.661712646E-1,9.538604736E0
1.322311844E1,8.722534180E-1,1.070404053E-1,9.957595825E0
1.332327713E1,7.740936279E-1,2.339324951E-1,9.737319946E0
1.342346634E1,7.573242188E-1,2.554779053E-1,9.483535767E0
1.352365554E1,1.032669067E0,2.411193848E-1,9.555374146E0
1.362381424E1,8.291625977E-1,2.602691650E-1,9.928863525E0
1.372400344E1,7.621154785E-1,2.267456055E-1,9.660705566E0
1.382416214E1,7.214202881E-1,2.482910156E-1,9.531433105E0
1.392435135E1,9.823913574E-1,4.039154053E-1,9.390167236E0
1.402451004E1,8.794403076E-1,1.980133057E-1,9.919281006E0
1.412469924E1,8.531036377E-1,2.626647949E-1,9.852249146E0
1.422485794E1,8.578948975E-1,2.770233154E-1,9.495513916E0
1.432504715E1,8.698577881E-1,2.890014648E-1,9.509872437E0
1.442523635E1,9.033813477E-1,1.932220459E-1,9.885772705E0
1.452539505E1,7.764892578E-1,1.692810059E-1,9.845062256E0
1.462558426E1,6.663513184E-1,2.818145752E-1,9.538604736E0
1.472574295E1,9.464721680E-1,3.368835449E-1,9.359039307E0
1.482593216E1,1.018295288E0,1.788635254E-1,9.880981445E0
1.492609085E1,7.094421387E-1,2.052001953E-1,9.799575806E0
1.502628006E1,1.001541138E0,3.464508057E-1,9.244125366E0
1.512643875E1,9.967498779E-1,1.956176758E-1,9.670288086E0
1.522659744E1,9.656219482E-1,7.830810547E-2,9.763656616E0
1.532678665E1,7.477569580E-1,1.836547852E-1,9.749298096E0
1.542697586E1,7.166290283E-1,3.392791748E-1,9.552978516E0
1.552713455E1,9.704132080E-1,3.009643555E-1,9.545791626E0
1.562732376E1,9.153442383E-1,1.213989258E-1,9.895339966E0
1.572748245E1,7.453613281E-1,1.764678955E-1,9.825912476E0
1.582767166E1,7.501525879E-1,3.320922852E-1,9.495513916E0
1.592783035E1,9.871673584E-1,3.129425049E-1,9.485931396E0
1.602801956E1,8.890075684E-1,2.075958252E-1,9.919281006E0
1.612817825E1,7.262115479E-1,2.075958252E-1,9.799575806E0
1.622836746E1,8.195800781E-1,2.913970947E-1,9.359039307E0
1.632858718E1,9.895629883E-1,1.453399658E-1,9.751693726E0
1.642871536E1,9.536590576E-1,1.884460449E-1,9.859436035E0
1.652887405E1,7.070465088E-1,2.243499756E-1,9.727752686E0
1.662906326E1,7.812805176E-1,3.560333252E-1,9.507476807E0
1.672922195E1,9.464721680E-1,3.225097656E-1,9.531433105E0
1.682941116E1,9.608306885E-1,2.458953857E-1,9.924072266E0
1.692960037E1,7.118377686E-1,1.956176758E-1,9.684661865E0
1.702978958E1,8.243713379E-1,4.063110352E-1,9.303970337E0
1.712994827E1,1.032669067E0,1.908416748E-1,9.682266235E0
1.723010696E1,9.249267578E-1,1.764678955E-1,9.782821655E0
1.733032669E1,7.477569580E-1,2.578735352E-1,9.737319946E0
1.743048538E1,7.956390381E-1,4.087066650E-1,9.428482056E0
1.753061190E1,8.291625977E-1,1.597137451E-1,9.766052246E0
1.763080111E1,9.057769775E-1,1.908416748E-1,9.869003296E0
1.773095980E1,6.495971680E-1,2.937927246E-1,9.734939575E0
1.783114901E1,9.368896484E-1,3.775787354E-1,9.325531006E0
1.793130770E1,9.704132080E-1,1.166076660E-1,9.842666626E0
1.803149691E1,8.387298584E-1,2.482910156E-1,9.768447876E0
1.813165560E1,7.740936279E-1,2.435150146E-1,9.775634766E0
1.823187533E1,5.586090088E-1,8.013610840E-1,9.500305176E0
1.833200350E1,9.440765381E-1,3.081512451E-1,1.014912415E1
1.843219271E1,1.334335327E0,-5.337524414E-2,9.497909546E0
1.853235140E1,9.273223877E-1,-5.337524414E-2,9.581710815E0
1.863254061E1,9.919586182E-1,4.254608154E-1,9.327911377E0
1.873269930E1,7.740936279E-1,5.020751953E-1,9.845062256E0
1.883288851E1,6.878967285E-1,3.273010254E-1,9.916885376E0
1.893307772E1,7.190246582E-1,6.155395508E-2,9.488327026E0
1.903323641E1,1.415740967E0,3.632202148E-1,9.457199097E0
1.913339510E1,8.147888184E-1,2.267456055E-1,1.001266479E1
1.923358431E1,5.155181885E-1,4.637756348E-1,9.809158325E0
1.933377352E1,2.090606689E-1,4.589843750E-1,9.751693726E0
1.943393221E1,1.176315308E0,3.105468750E-1,9.382980347E0
1.953409090E1,1.123641968E0,1.525268555E-1,1.001745605E1
1.963428011E1,7.477569580E-1,1.716766357E-1,9.641555786E0
1.973446932E1,6.974792480E-1,2.387237549E-1,9.373413086E0
1.983462801E1,1.212234497E0,4.589843750E-1,9.502700806E0
1.993481722E1,8.961944580E-1,1.549224854E-1,9.979141235E0
2.003500643E1,6.328277588E-1,2.961730957E-1,9.768447876E0
2.013519564E1,6.184692383E-1,2.482910156E-1,9.502700806E0
2.023535433E1,1.176315308E0,3.727874756E-1,9.495513916E0
2.033551302E1,9.416809082E-1,2.195587158E-1,9.907318115E0
2.043567172E1,8.076019287E-1,3.999328613E-2,9.677474976E0
2.053586092E1,9.225311279E-1,1.333770752E-1,9.392562866E0
2.063605013E1,1.228988647E0,5.332031250E-1,9.356643677E0
2.073620882E1,7.645111084E-1,2.746276855E-1,1.000068665E1
2.083639803E1,7.238159180E-1,2.961730957E-1,9.663101196E0
2.093658724E1,7.693023682E-1,2.219543457E-1,9.402145386E0
2.103674593E1,1.188293457E0,3.105468750E-1,9.754089355E0
2.113690462E1,8.626708984E-1,2.506866455E-1,9.904922485E0
2.123709383E1,6.064910889E-1,1.980133057E-1,9.598464966E0
2.133725252E1,7.884521484E-1,2.458953857E-1,9.555374146E0
2.143744173E1,1.037445068E0,5.044708252E-1,9.459594727E0
2.153763094E1,8.602752686E-1,2.171783447E-1,1.009645081E1
2.163778964E1,7.046661377E-1,1.597137451E-1,9.612823486E0
2.173797884E1,7.645111084E-1,3.704071045E-1,9.299194336E0
2.183813754E1,1.039840698E0,4.015197754E-1,9.857040405E0
2.193832674E1,8.219757080E-1,2.052001953E-1,9.928863525E0
2.203851595E1,7.309875488E-1,1.501312256E-1,9.567337036E0
2.213867464E1,7.429656982E-1,2.722320557E-1,9.366226196E0
2.223886385E1,1.138015747E0,3.680114746E-1,9.708602905E0
2.233902255E1,9.321136475E-1,2.698364258E-1,1.003181458E1
2.243921175E1,5.634002686E-1,1.597137451E-1,9.315948486E0
2.253937045E1,1.133224487E0,5.667266846E-1,9.409317017E0
2.263955965E1,8.818359375E-1,2.315368652E-1,1.007250977E1
2.273971835E1,7.932434082E-1,2.339324951E-1,9.785217285E0
2.283987704E1,7.333831787E-1,1.860504150E-1,9.586486816E0
2.294006625E1,9.464721680E-1,3.680114746E-1,9.186660767E0
2.304025546E1,9.895629883E-1,3.033599854E-1,1.007969666E1
2.314041415E1,8.123931885E-1,1.812591553E-1,9.725357056E0
2.324060336E1,5.849456787E-1,1.788635254E-1,9.545791626E0
2.334076205E1,1.068572998E0,4.374389648E-1,9.327911377E0
2.344095126E1,1.070968628E0,2.746276855E-1,9.787612915E0
2.354110995E1,8.435211182E-1,2.243499756E-1,9.948013306E0
2.364129916E1,6.495971680E-1,1.501312256E-1,9.485931396E0
2.374145785E1,1.138015747E0,4.230804443E-1,9.215393066E0
2.384164706E1,8.866119385E-1,2.698364258E-1,1.025447083E1
2.394183627E1,7.333831787E-1,2.219543457E-1,9.639160156E0
2.404199496E1,6.232604980E-1,1.956176758E-1,9.651138306E0
2.414218417E1,9.105529785E-1,3.919525146E-1,9.359039307E0
2.424234286E1,1.030273438E0,3.225097656E-1,9.993499756E0
2.434253207E1,9.081726074E-1,2.004089355E-1,9.857040405E0
2.444269076E1,6.017150879E-1,2.004089355E-1,9.301589966E0
2.454287997E1,1.226593018E0,4.949035645E-1,9.620010376E0
2.464303866E1,8.315582275E-1,1.812591553E-1,1.004139709E1
2.474322787E1,8.842163086E-1,1.501312256E-1,9.485931396E0
2.484341708E1,8.219757080E-1,1.429443359E-1,9.543395996E0
2.494357577E1,1.157165527E0,3.512420654E-1,9.361434937E0
2.504373446E1,8.842163086E-1,2.267456055E-1,1.005096436E1
2.514392367E1,7.262115479E-1,1.333770752E-1,9.593673706E0
2.524411288E1,6.974792480E-1,1.956176758E-1,9.466781616E0
2.534430209E1,1.274475098E0,4.613800049E-1,9.466781616E0
2.544449130E1,8.531036377E-1,2.674560547E-1,9.883377075E0
2.554464999E1,6.783294678E-1,2.626647949E-1,9.739715576E0
2.564483920E1,6.256561279E-1,1.285858154E-1,9.394958496E0
2.574499789E1,1.288848877E0,3.991241455E-1,9.706207275E0
2.584515658E1,9.536590576E-1,1.812591553E-1,1.003660583E1
2.594534579E1,7.693023682E-1,1.621093750E-1,9.531433105E0
2.604550448E1,6.304321289E-1,2.554779053E-1,9.562545776E0
2.614566317E1,1.161956787E0,4.517974854E-1,9.517059326E0
2.624585238E1,9.177398682E-1,2.722320557E-1,1.005096436E1
2.634601107E1,7.238159180E-1,2.004089355E-1,9.529037476E0
2.644620028E1,6.855010986E-1,2.650604248E-1,9.325531006E0
2.654635897E1,1.178710938E0,4.422302246E-1,9.907318115E0
2.664654818E1,9.608306885E-1,1.429443359E-1,9.864227295E0
2.674673739E1,7.070465088E-1,2.458953857E-1,9.629592896E0
2.684689608E1,6.376190186E-1,2.243499756E-1,9.512268066E0
2.694705477E1,1.226593018E0,3.296966553E-1,9.593673706E0
2.704724398E1,9.345092773E-1,2.482910156E-1,1.002941895E1
2.714740267E1,9.943542480E-1,-1.745605469E-2,9.438049316E0
2.724759188E1,8.698577881E-1,2.818145752E-1,9.356643677E0
2.734781161E1,9.201354980E-1,4.541931152E-1,9.677474976E0
2.744797030E1,5.370635986E-1,2.866058350E-1,9.998291016E0
2.754818537E1,8.123931885E-1,1.788635254E-1,9.823516846E0
2.764834406E1,1.331939697E0,1.261901855E-1,9.809158325E0
