"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.686446955E1,9.991455078E-1,2.291412354E-1,9.880981445E0
3.696465876E1,8.507080078E-1,2.123870850E-1,9.837890625E0
3.706481745E1,6.472015381E-1,2.243499756E-1,9.586486816E0
3.716500666E1,9.440765381E-1,3.273010254E-1,9.354248047E0
3.726519586E1,1.126037598E0,4.182891846E-1,9.871398926E0
3.736535456E1,1.054214478E0,1.908416748E-1,9.787612915E0
3.746551325E1,1.008728027E0,1.932220459E-1,9.629592896E0
3.756561245E1,1.164352417E0,3.009643555E-1,9.667892456E0
3.766583217E1,1.152374268E0,2.818145752E-1,9.581710815E0
3.776599086E1,1.085342407E0,3.895568848E-1,9.679870605E0
3.786618007E1,1.097305298E0,3.368835449E-1,9.545791626E0
3.796633876E1,1.118850708E0,3.129425049E-1,9.538604736E0
3.806652797E1,1.030273438E0,2.530822754E-1,9.710998535E0
3.816668666E1,8.267669678E-1,9.745788574E-2,9.864227295E0
3.826687587E1,8.507080078E-1,2.674560547E-1,9.713378906E0
3.836703457E1,8.243713379E-1,2.075958252E-1,9.641555786E0
3.846719326E1,5.179138184E-1,2.530822754E-1,9.706207275E0
3.856738247E1,8.291625977E-1,3.320922852E-1,9.397354126E0
3.866757168E1,1.042236328E0,4.111022949E-1,9.493118286E0
3.876773037E1,8.554992676E-1,2.123870850E-1,9.940841675E0
3.886788906E1,8.387298584E-1,2.195587158E-1,9.722961426E0
3.896807827E1,5.681915283E-1,2.099914551E-1,9.667892456E0
3.906829799E1,9.440765381E-1,4.494018555E-1,9.359039307E0
3.916842617E1,1.085342407E0,2.147827148E-1,9.775634766E0
3.926861538E1,8.914031982E-1,2.818145752E-1,9.952804565E0
3.936877407E1,6.543731689E-1,2.482910156E-1,9.665496826E0
3.946896328E1,6.088867188E-1,2.794189453E-1,9.461990356E0
3.956915249E1,9.967498779E-1,2.937927246E-1,9.895339966E0
3.966934169E1,1.092514038E0,4.781341553E-1,9.852249146E0
3.976953090E1,6.759338379E-1,1.605224609E-2,9.382980347E0
3.986965908E1,1.049423218E0,5.355987549E-1,9.840270996E0
3.996981777E1,9.416809082E-1,3.632202148E-1,9.778030396E0
4.007000698E1,6.998748779E-1,5.676269531E-2,9.610427856E0
4.017016567E1,6.543731689E-1,3.521728516E-2,9.500305176E0
4.027038540E1,6.855010986E-1,7.112121582E-2,9.603256226E0
4.037054409E1,9.225311279E-1,2.722320557E-1,9.643951416E0
4.047073330E1,8.842163086E-1,3.799743652E-1,9.560150146E0
