"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.244467605E1,3.509521484E-4,-1.190185547E-3,1.049804688E-2
1.254486526E1,-7.171630859E-4,9.460449219E-4,-8.666992188E-3
1.264499344E1,7.797241211E-3,-1.290893555E-2,3.051757812E-3
1.274518264E1,-1.785278320E-3,-1.190185547E-3,4.119873047E-3
1.284534134E1,-2.853393555E-3,9.460449219E-4,1.689147949E-2
1.294553054E1,-1.785278320E-3,-8.651733398E-3,-1.220703125E-3
1.304568924E1,6.744384766E-3,-2.355957031E-2,1.795959473E-2
1.314587844E1,3.509521484E-4,9.460449219E-3,7.308959961E-3
1.324606765E1,-1.785278320E-3,9.460449219E-4,7.308959961E-3
1.334622635E1,3.509521484E-4,-5.447387695E-3,6.240844727E-3
1.344638504E1,3.509521484E-4,-1.397705078E-2,1.263427734E-2
1.354660476E1,-1.785278320E-3,1.052856445E-2,1.983642578E-3
1.364676345E1,-2.853393555E-3,3.067016602E-3,4.119873047E-3
1.374695266E1,1.419067383E-3,-3.326416016E-3,-1.080322266E-2
1.384711135E1,1.419067383E-3,-5.447387695E-3,-5.477905273E-3
1.394730056E1,-2.853393555E-3,8.392333984E-3,9.155273438E-4
1.404745926E1,-9.246826172E-3,4.135131836E-3,-5.477905273E-3
1.414761795E1,-3.921508789E-3,-1.220703125E-4,-1.080322266E-2
1.424780716E1,4.608154297E-3,-6.515502930E-3,-1.220703125E-3
1.434799636E1,3.509521484E-4,1.159667969E-2,1.983642578E-3
1.444815506E1,-3.921508789E-3,-1.190185547E-3,3.051757812E-3
1.454834426E1,3.509521484E-4,-1.220703125E-4,-1.187133789E-2
1.464850296E1,5.676269531E-3,-8.651733398E-3,4.119873047E-3
1.474869217E1,-3.921508789E-3,9.460449219E-3,1.983642578E-3
1.484885086E1,-2.853393555E-3,5.203247070E-3,9.155273438E-4
1.494900955E1,5.676269531E-3,-9.704589844E-3,-6.546020508E-3
1.504919876E1,-2.853393555E-3,2.014160156E-3,-1.525878906E-4
1.514938797E1,-1.785278320E-3,7.339477539E-3,6.240844727E-3
1.524954666E1,-3.921508789E-3,4.135131836E-3,-3.341674805E-3
1.534973587E1,2.471923828E-3,3.067016602E-3,-7.598876953E-3
1.544989456E1,2.471923828E-3,-1.397705078E-2,9.155273438E-4
1.555008377E1,-1.785278320E-3,4.135131836E-3,-1.525878906E-4
1.565024246E1,-7.171630859E-4,4.135131836E-3,1.983642578E-3
1.575043167E1,1.419067383E-3,-2.258300781E-3,-1.080322266E-2
1.585059036E1,3.540039062E-3,-6.515502930E-3,-3.341674805E-3
1.595077957E1,3.509521484E-4,7.339477539E-3,3.051757812E-3
1.605096878E1,-2.853393555E-3,-1.220703125E-4,-1.525878906E-4
1.615112747E1,2.471923828E-3,-7.583618164E-3,-6.546020508E-3
1.625128616E1,1.419067383E-3,-1.190185547E-3,-3.341674805E-3
1.635147537E1,-7.171630859E-4,8.392333984E-3,1.983642578E-3
1.645163406E1,-2.853393555E-3,3.067016602E-3,9.155273438E-4
