"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.807207596E1,4.105325549E1,2.901055709E1,1.318800822E2,2.059999943E0,3.490000153E1,1.820399857E1,0.000000000E0
8.907141971E1,4.105327812E1,2.901059848E1,1.328802466E2,3.430000067E0,4.570000076E1,1.820399857E1,0.000000000E0
9.007122741E1,4.105330511E1,2.901063499E1,1.298804157E2,4.000000000E0,4.529999924E1,1.820399857E1,0.000000000E0
9.107042934E1,4.105333742E1,2.901068005E1,1.298806210E2,4.829999924E0,4.759999847E1,1.820399857E1,0.000000000E0
9.207096950E1,4.105344078E1,2.901081723E1,1.308812631E2,7.559999943E0,5.100000000E1,1.972099876E1,0.000000000E0
9.307074637E1,4.105350286E1,2.901097881E1,1.328818156E2,9.640000343E0,6.109999847E1,1.972099876E1,0.000000000E0
9.406869127E1,4.105353725E1,2.901110284E1,1.318821943E2,1.093000031E1,6.869999695E1,2.123799896E1,0.000000000E0
9.506903418E1,4.105357927E1,2.901121803E1,1.308825805E2,1.109000015E1,6.790000153E1,2.123799896E1,0.000000000E0
9.607041965E1,4.105369712E1,2.901135362E1,1.328832690E2,1.093999958E1,5.929999924E1,2.123799896E1,0.000000000E0
9.707009382E1,4.105376504E1,2.901145701E1,1.318837190E2,1.092000008E1,5.679999924E1,2.427199936E1,0.000000000E0
9.806999861E1,4.105377757E1,2.901149291E1,1.328838375E2,7.710000038E0,5.720000076E1,2.578899956E1,0.000000000E0
9.907101163E1,4.105380992E1,2.901152105E1,1.328840074E2,6.079999924E0,5.029999924E1,2.730599976E1,0.000000000E0
1.000710219E2,4.105388682E1,2.901150337E1,1.338842331E2,5.349999905E0,3.070000076E1,2.730599976E1,0.000000000E0
1.010712159E2,4.105392776E1,2.901140239E1,1.258841603E2,4.219999790E0,1.180000019E1,2.730599976E1,0.000000000E0
1.020699240E2,4.105390657E1,2.901138018E1,1.258840411E2,2.809999943E0,1.820000076E1,2.882299995E1,0.000000000E0
1.030699223E2,4.105388025E1,2.901138071E1,1.258839522E2,1.389999986E0,3.740000153E1,2.882299995E1,0.000000000E0
1.040739314E2,4.105390217E1,2.901135691E1,1.238839770E2,8.299999833E-1,5.009999847E1,2.730599976E1,0.000000000E0
1.050733129E2,4.105384339E1,2.901133630E1,1.248837326E2,1.049999952E0,1.710000000E2,2.427199936E1,0.000000000E0
1.060780727E2,4.105382638E1,2.901133678E1,1.258836755E2,1.039999962E0,1.728000031E2,2.123799896E1,0.000000000E0
1.070768392E2,4.105380663E1,2.901133385E1,1.248836018E2,1.149999976E0,1.410000000E2,1.972099876E1,0.000000000E0
1.080734396E2,4.105379177E1,2.901133579E1,1.248835551E2,1.210000038E0,1.456999969E2,1.972099876E1,0.000000000E0
1.090737143E2,4.105378730E1,2.901133244E1,1.258835327E2,6.700000167E-1,1.561999969E2,1.972099876E1,0.000000000E0
1.100733294E2,4.105378081E1,2.901131758E1,1.278834792E2,2.399999946E-1,1.895000000E2,1.820399857E1,0.000000000E0
1.110692305E2,4.105378015E1,2.901131839E1,1.278834787E2,0.000000000E0,0.000000000E0,1.820399857E1,0.000000000E0
1.120719806E2,4.105378051E1,2.901131912E1,1.278834814E2,0.000000000E0,0.000000000E0,1.820399857E1,0.000000000E0
1.130725956E2,4.105378369E1,2.901132044E1,1.278834951E2,0.000000000E0,0.000000000E0,1.820399857E1,0.000000000E0
1.140733945E2,4.105378067E1,2.901132204E1,1.278834881E2,0.000000000E0,0.000000000E0,1.820399857E1,0.000000000E0
1.150717004E2,4.105378220E1,2.901132057E1,1.268834903E2,0.000000000E0,0.000000000E0,1.668700027E1,0.000000000E0
1.160717023E2,4.105378402E1,2.901131755E1,1.268834901E2,0.000000000E0,0.000000000E0,1.668700027E1,0.000000000E0
1.170818911E2,4.105378607E1,2.901131410E1,1.268834899E2,0.000000000E0,0.000000000E0,1.668700027E1,0.000000000E0
1.180726270E2,4.105378469E1,2.901131026E1,1.268834771E2,0.000000000E0,0.000000000E0,1.668700027E1,0.000000000E0
1.190700199E2,4.105378594E1,2.901130996E1,1.268834807E2,0.000000000E0,0.000000000E0,1.668700027E1,0.000000000E0
1.200721538E2,4.105377534E1,2.901130452E1,1.258834330E2,0.000000000E0,0.000000000E0,1.820399857E1,0.000000000E0
1.210684360E2,4.105377012E1,2.901130207E1,1.258834100E2,0.000000000E0,0.000000000E0,1.820399857E1,0.000000000E0
1.220682619E2,4.105376645E1,2.901129976E1,1.258833926E2,0.000000000E0,0.000000000E0,1.820399857E1,0.000000000E0
1.230698246E2,4.105376689E1,2.901129785E1,1.258833901E2,0.000000000E0,0.000000000E0,1.972099876E1,0.000000000E0
1.240663110E2,4.105363853E1,2.901110241E1,1.258825396E2,8.890000343E0,2.271999969E2,1.972099876E1,0.000000000E0
1.250708509E2,4.105356284E1,2.901096229E1,1.258819858E2,1.055000019E1,2.261000061E2,2.123799896E1,0.000000000E0
1.260759171E2,4.105351819E1,2.901080499E1,1.278815019E2,1.082999992E1,2.253999939E2,2.275499916E1,0.000000000E0
1.270681010E2,4.105346119E1,2.901069669E1,1.288810791E2,1.067000008E1,2.238000031E2,2.730599976E1,0.000000000E0
1.280689798E2,4.105339861E1,2.901061433E1,1.288806918E2,9.840000153E0,2.235000000E2,3.034000015E1,0.000000000E0
1.290696288E2,4.105335844E1,2.901067535E1,1.288806830E2,6.210000038E0,2.058999939E2,2.730599976E1,0.000000000E0
1.300705070E2,4.105340859E1,2.901065376E1,1.288808089E2,2.880000114E0,1.918999939E2,2.730599976E1,0.000000000E0
1.310701871E2,4.105343737E1,2.901058478E1,1.298807620E2,1.500000000E0,1.910000000E2,2.730599976E1,0.000000000E0
1.320724939E2,4.105344085E1,2.901052519E1,1.308806484E2,8.700000048E-1,2.191000061E2,2.427199936E1,0.000000000E0
1.330725923E2,4.105341202E1,2.901051272E1,1.258805236E2,9.100000262E-1,2.103000031E2,2.275499916E1,0.000000000E0
1.340735155E2,4.105346866E1,2.901049343E1,1.258806766E2,8.100000024E-1,2.551000061E2,2.275499916E1,0.000000000E0
1.350726820E2,4.105345283E1,2.901043761E1,1.218805049E2,1.409999967E0,2.985000000E2,2.123799896E1,0.000000000E0
1.360720607E2,4.105340860E1,2.901044171E1,1.238803624E2,1.419999957E0,3.141000061E2,1.972099876E1,0.000000000E0
1.370734377E2,4.105335687E1,2.901048585E1,1.178802786E2,5.500000119E-1,3.213999939E2,1.972099876E1,0.000000000E0
1.380720857E2,4.105331661E1,2.901051492E1,1.138802022E2,0.000000000E0,0.000000000E0,1.972099876E1,0.000000000E0
1.390714267E2,4.105331047E1,2.901050031E1,1.138801505E2,4.799999893E-1,2.597000122E2,1.972099876E1,0.000000000E0
