"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.847322665E1,-6.810150146E-1,1.657867432E-1,-1.088104248E-1
1.857347689E1,-9.643707275E-1,7.239990234E-1,-2.920379639E-1
1.867369662E1,-7.268218994E-1,6.408996582E-1,-2.930908203E-1
1.877388583E1,2.947692871E-1,3.607330322E-1,-1.130676270E-1
1.887410556E1,-6.741333008E-2,-6.750488281E-2,1.159667969E-1
1.897432528E1,-2.144317627E-1,-5.692443848E-1,9.155273438E-4
1.907454501E1,-1.057739258E-1,-2.276611328E-2,7.015991211E-2
1.917476474E1,-8.126831055E-2,7.312011719E-2,-9.735107422E-3
1.927498446E1,2.883758545E-1,4.193267822E-1,-6.193542480E-2
1.937520419E1,1.034545898E-2,-5.897521973E-2,-1.187133789E-2
1.947539340E1,4.336547852E-2,-2.169799805E-2,-6.546020508E-3
1.957561312E1,1.978302002E-1,2.318420410E-1,-9.281921387E-2
1.967586337E1,1.992797852E-2,-3.341674805E-2,-1.525878906E-4
1.977605258E1,3.378295898E-2,9.201049805E-3,-5.128479004E-2
1.987627230E1,-3.635559082E-1,5.180358887E-2,-3.742980957E-2
1.997649203E1,-2.932586670E-1,2.936248779E-1,-6.193542480E-2
2.007671176E1,-1.867218018E-1,-4.939270020E-2,-1.525878906E-4
2.017693148E1,-1.068267822E-1,-1.473999023E-1,-5.661010742E-2
2.027715121E1,2.099609375E-2,-4.725646973E-2,-5.477905273E-3
2.037740145E1,-3.198852539E-1,-2.400665283E-1,3.500366211E-2
2.047759888E1,-7.380676270E-2,-1.218261719E-1,2.648925781E-2
2.057784913E1,-2.186889648E-1,-2.528533936E-1,1.795959473E-2
2.067806885E1,3.591918945E-2,-2.809143066E-2,3.051757812E-3
2.077825806E1,-1.110992432E-1,6.565856934E-2,1.983642578E-3
2.087844727E1,2.525329590E-2,-2.517700195E-3,-2.273559570E-3
2.097866700E1,7.745361328E-2,-4.653930664E-3,7.308959961E-3
2.107888672E1,8.810424805E-2,-8.560180664E-2,2.221679688E-2
2.117910645E1,-8.340454102E-2,2.198791504E-2,-4.409790039E-3
2.127932618E1,3.952026367E-3,-9.626770020E-2,6.240844727E-3
2.137954590E1,1.248168945E-2,-1.111755371E-1,4.885864258E-2
2.147976563E1,-2.160644531E-2,4.435729980E-2,-4.914855957E-2
2.157998536E1,-4.185485840E-2,-4.406738281E-2,2.967834473E-2
2.168020508E1,1.034545898E-2,5.926513672E-2,-1.525878906E-4
2.178042481E1,6.254577637E-2,-1.742553711E-2,2.542114258E-2
2.188064454E1,-9.887695312E-3,5.180358887E-2,-2.273559570E-3
2.198086426E1,1.062164307E-1,-3.585815430E-3,2.328491211E-2
2.208108399E1,-4.718017578E-2,-3.128051758E-2,1.156616211E-2
2.218127320E1,8.284759521E-1,7.630920410E-2,-2.377014160E-1
2.228149293E1,6.633453369E-1,2.616729736E-1,-3.442230225E-1
2.238174317E1,9.211425781E-1,1.451568604E0,-8.640747070E-1
2.248193238E1,-1.430511475E-1,1.790328979E0,-1.896316528E0
2.258215211E1,-1.430511475E-1,1.023330688E0,-1.355163574E0
2.268240235E1,6.388549805E-1,2.755126953E-1,-1.302963257E0
2.278262208E1,9.275360107E-1,1.693389893E0,-1.816421509E0
2.288284180E1,-1.628036499E0,1.816955566E0,2.533874512E-1
2.298306153E1,-7.118988037E-1,-8.014678955E-1,-1.758895874E0
2.308328126E1,-1.302642822E-1,1.199798584E-1,-6.744537354E-1
2.318350098E1,2.596130371E-1,1.487426758E-1,-9.388732910E-2
2.328369019E1,-2.612915039E-1,7.080078125E-1,-5.935058594E-1
2.338390992E1,4.961090088E-1,1.053161621E0,-5.370483398E-1
2.348412965E1,-6.969909668E-1,4.725952148E-1,-8.749389648E-2
2.358434937E1,2.521667480E-1,2.062683105E-1,-4.369049072E-1
2.368456910E1,-1.920471191E-1,-5.990600586E-1,-7.598876953E-3
2.378481934E1,-4.824829102E-2,-2.496643066E-1,-5.661010742E-2
2.388503907E1,-5.996704102E-2,-9.732055664E-2,-6.086730957E-2
2.398522828E1,-1.569061279E-1,9.548950195E-2,-2.462310791E-1
2.408541749E1,-1.164245605E-1,-1.047821045E-1,-9.069824219E-2
2.418566773E1,2.632141113E-2,-2.169799805E-2,-1.876373291E-1
2.428588746E1,1.062164307E-1,3.713836670E-1,-2.302398682E-1
2.438607667E1,4.055633545E-1,4.129333496E-1,-2.909698486E-1
2.448629639E1,-1.628112793E-2,2.838134766E-2,2.501831055E-1
2.458654664E1,-8.766174316E-2,1.370239258E-1,-1.876373291E-1
2.468673585E1,-1.132202148E-1,5.610046387E-1,-3.165283203E-1
2.478695557E1,-3.971862793E-2,1.140502930E0,-2.696533203E-1
2.488720582E1,-6.315612793E-2,-2.507324219E-1,-5.661010742E-2
2.498739503E1,2.952575684E-2,-7.141113281E-1,-2.464294434E-2
2.508761475E1,-1.057739258E-1,-3.553771973E-2,-2.377014160E-1
2.518783448E1,-6.422424316E-2,1.201232910E0,-7.365417480E-2
2.528805420E1,2.845764160E-2,-4.627075195E-1,1.745605469E-1
2.538827393E1,-6.698608398E-3,5.247802734E-1,1.639099121E-1
2.548849366E1,-2.101593018E-1,5.578155518E-1,-7.365417480E-2
2.558871339E1,-2.441406250E-3,-1.530456543E-2,-1.080322266E-2
2.568893311E1,5.020141602E-3,-7.843017578E-3,9.155273438E-4
2.578915284E1,-3.509521484E-3,1.559448242E-2,-4.409790039E-3
2.588937257E1,1.034545898E-2,-1.316833496E-2,-1.931762695E-2
2.598959229E1,-9.887695312E-3,-1.104736328E-2,6.240844727E-3
2.608981202E1,1.460266113E-2,9.201049805E-3,-8.666992188E-3
2.619003174E1,-9.887695312E-3,1.133728027E-2,-3.341674805E-3
2.629028199E1,1.353454590E-2,-6.217956543E-2,-7.598876953E-3
2.639047120E1,-5.630493164E-3,4.115295410E-2,1.983642578E-3
2.649069092E1,1.831054688E-3,1.239013672E-2,-7.598876953E-3
2.659091065E1,1.141357422E-2,-2.595520020E-2,-1.525878906E-4
2.669113038E1,-5.630493164E-3,-1.104736328E-2,8.377075195E-3
2.679135010E1,-7.766723633E-3,7.312011719E-2,7.308959961E-3
2.689156983E1,7.156372070E-3,-1.956176758E-2,-5.477905273E-3
2.699178956E1,2.883911133E-3,-2.488708496E-2,7.308959961E-3
2.709200928E1,6.787109375E-2,-2.517852783E-1,2.861022949E-2
2.719222901E1,1.307220459E-1,-2.062988281E-2,-1.343688965E-1
2.729244874E1,-2.799987793E-2,-4.939270020E-2,-5.767822266E-2
2.739266846E1,1.034545898E-2,1.026916504E-2,4.119873047E-3
2.749288819E1,-8.834838867E-3,1.666259766E-2,6.240844727E-3
2.759307740E1,7.156372070E-3,-3.660583496E-2,3.051757812E-3
2.769332764E1,-2.441406250E-3,4.115295410E-2,-6.546020508E-3
2.779351685E1,2.883911133E-3,-6.774902344E-3,-1.612854004E-2
2.789376710E1,1.831054688E-3,-1.423645020E-2,1.689147949E-2
2.799398682E1,-1.095581055E-2,4.008483887E-2,1.263427734E-2
2.809417603E1,5.020141602E-3,-1.316833496E-2,-4.409790039E-3
2.819442628E1,3.952026367E-3,-1.530456543E-2,1.477050781E-2
2.829461548E1,-4.562377930E-3,3.582763672E-2,9.155273438E-4
2.839483521E1,1.831054688E-3,-2.517700195E-3,-3.341674805E-3
2.849508546E1,-3.509521484E-3,1.026916504E-2,1.795959473E-2
2.859530518E1,3.952026367E-3,5.996704102E-3,-6.546020508E-3
2.869552491E1,1.831054688E-3,-8.911132812E-3,3.051757812E-3
2.879574464E1,-8.834838867E-3,1.345825195E-2,6.240844727E-3
2.889596436E1,7.156372070E-3,9.201049805E-3,-7.598876953E-3
2.899618409E1,5.020141602E-3,-2.488708496E-2,-1.525878906E-4
2.909640382E1,-5.630493164E-3,2.943420410E-2,7.308959961E-3
2.919659302E1,3.952026367E-3,-1.423645020E-2,-1.292419434E-2
2.929684327E1,7.629394531E-4,-7.843017578E-3,7.308959961E-3
2.939703248E1,1.831054688E-3,4.647827148E-2,-6.546020508E-3
2.949725220E1,1.248168945E-2,-4.086303711E-2,-8.666992188E-3
2.959750245E1,-1.202392578E-2,1.133728027E-2,3.051757812E-3
2.969772217E1,2.883911133E-3,1.666259766E-2,-7.598876953E-3
2.979791138E1,1.034545898E-2,-3.128051758E-2,5.172729492E-3
2.989819215E1,1.831054688E-3,4.222106934E-2,-2.273559570E-3
2.999838135E1,5.020141602E-3,-1.742553711E-2,-2.273559570E-3
3.009857056E1,7.629394531E-4,-1.104736328E-2,-1.220703125E-3
3.019879029E1,1.831054688E-3,3.157043457E-2,-8.666992188E-3
3.029901002E1,9.277343750E-3,-4.299926758E-2,-4.409790039E-3
3.039922974E1,-4.562377930E-3,2.517700195E-2,9.155273438E-4
3.049945781E1,7.629394531E-4,9.201049805E-3,-6.546020508E-3
3.059967754E1,1.248168945E-2,-3.981018066E-2,9.155273438E-4
3.069989727E1,-3.051757812E-4,5.287170410E-2,3.051757812E-3
3.080011699E1,1.460266113E-2,-6.323242188E-2,-2.273559570E-3
3.090033672E1,1.831054688E-3,4.222106934E-2,1.983642578E-3
3.100055645E1,1.831054688E-3,-1.316833496E-2,5.172729492E-3
3.110080669E1,3.952026367E-3,1.559448242E-2,-1.080322266E-2
3.120102642E1,-3.509521484E-3,1.739501953E-3,9.445190430E-3
3.130124614E1,8.209228516E-3,-1.449584961E-3,-9.735107422E-3
3.140146587E1,-3.509521484E-3,8.132934570E-3,1.263427734E-2
3.150165508E1,6.088256836E-3,3.157043457E-2,-5.477905273E-3
3.160187481E1,1.992797852E-2,-8.454895020E-2,-1.506042480E-2
3.170209453E1,-1.841735840E-2,8.695983887E-2,6.240844727E-3
3.180231426E1,1.353454590E-2,-6.217956543E-2,-8.666992188E-3
3.190253399E1,-4.562377930E-3,1.345825195E-2,1.049804688E-2
3.200275371E1,7.629394531E-4,3.263854980E-2,-3.341674805E-3
3.210300396E1,1.887512207E-2,-6.323242188E-2,-5.477905273E-3
3.220319317E1,-1.416015625E-2,7.524108887E-2,8.377075195E-3
3.230341289E1,1.034545898E-2,-5.471801758E-2,-1.719665527E-2
3.240363262E1,-1.416015625E-2,7.844543457E-2,2.009582520E-2
3.250385234E1,1.780700684E-2,-7.389831543E-2,-1.399230957E-2
3.260407207E1,-7.766723633E-3,3.263854980E-2,8.377075195E-3
3.270429180E1,5.020141602E-3,1.133728027E-2,-2.273559570E-3
3.280451152E1,1.460266113E-2,-1.210021973E-2,-8.666992188E-3
3.290473125E1,-2.441406250E-3,7.630920410E-2,3.051757812E-3
3.300498150E1,2.313232422E-2,-9.094238281E-2,-2.273559570E-3
3.310520122E1,-6.698608398E-3,7.737731934E-2,-1.220703125E-3
3.320539043E1,2.099609375E-2,-6.643676758E-2,-7.598876953E-3
3.330561016E1,-6.698608398E-3,4.754638672E-2,9.445190430E-3
3.340582988E1,3.952026367E-3,-8.911132812E-3,-1.292419434E-2
