"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.540041993E1,-9.221694946E0,-5.226440430E-1,-5.768890381E-1
2.550063966E1,-8.271209717E0,-6.184082031E-1,-8.953247070E-1
2.560085938E1,-9.169021606E0,-4.172973633E-1,-1.943984985E0
2.570107911E1,-8.874542236E0,-3.047637939E-1,-1.565704346E0
2.580129883E1,-9.109176636E0,-5.561523438E-1,-1.881729126E0
2.590148804E1,-9.379714966E0,-3.622283936E-1,-2.018203735E0
2.600170777E1,-8.824264526E0,-4.819335938E-1,-1.824279785E0
2.610192750E1,-9.070861816E0,-4.819335938E-1,-1.608795166E0
2.620214722E1,-9.626327515E0,-3.741912842E-1,-2.008621216E0
2.630239747E1,-9.015792847E0,-4.867248535E-1,-1.898498535E0
2.640258668E1,-8.920028687E0,-4.843292236E-1,-1.819488525E0
2.650280640E1,-9.075653076E0,-4.795379639E-1,-1.999053955E0
2.660302613E1,-9.377319336E0,-5.250244141E-1,-1.979888916E0
2.670324586E1,-8.663848877E0,-4.579925537E-1,-2.018203735E0
2.680346558E1,-9.039749146E0,-5.010833740E-1,-1.680618286E0
2.690368531E1,-9.271972656E0,-4.747467041E-1,-1.850616455E0
2.700390504E1,-8.546539307E0,-3.957366943E-1,-1.876937866E0
2.710412476E1,-1.348577881E1,4.302520752E-1,-6.856887817E0
2.720434449E1,-1.152014160E1,-1.140335083E0,-1.094039917E0
2.730456422E1,-1.065342712E1,-5.537567139E-1,-2.599990845E0
2.740478394E1,-8.390914917E0,-4.388427734E-1,-1.345428467E0
2.750500367E1,-9.137908936E0,-3.047637939E-1,-2.475494385E0
2.760522340E1,-9.046920776E0,-4.340515137E-1,-1.692596436E0
2.770544312E1,-9.063690186E0,-5.537567139E-1,-1.714141846E0
2.780566285E1,-9.317474365E0,-4.939117432E-1,-2.154678345E0
2.790588257E1,-8.556106567E0,-3.454589844E-1,-1.675827026E0
2.800610230E1,-8.529769897E0,-4.268646240E-1,-1.910461426E0
2.810632203E1,-9.372543335E0,-4.963073730E-1,-2.257629395E0
2.820654175E1,-8.714126587E0,-3.478546143E-1,-1.673431396E0
2.830676148E1,-8.819473267E0,-3.813781738E-1,-2.034957886E0
2.840698121E1,-9.429992676E0,-5.393981934E-1,-2.104400635E0
2.850720093E1,-8.371765137E0,-3.502502441E-1,-1.778778076E0
2.860742066E1,-9.099594116E0,-5.513610840E-1,-1.905670166E0
2.870764039E1,-9.209732056E0,-4.077148438E-1,-1.943984985E0
2.880786011E1,-8.589630127E0,-5.010833740E-1,-1.869766235E0
2.890807984E1,-9.137908936E0,-4.986877441E-1,-1.917648315E0
2.900829957E1,-9.233673096E0,-4.077148438E-1,-1.824279785E0
2.910851929E1,-8.730895996E0,-5.465850830E-1,-1.788360596E0
2.920873902E1,-9.401260376E0,-5.106658936E-1,-2.082839966E0
2.930895875E1,-8.809906006E0,-4.364471436E-1,-1.671051025E0
2.940917847E1,-9.042129517E0,-5.561523438E-1,-1.733291626E0
2.950939820E1,-9.408447266E0,-4.292602539E-1,-2.082839966E0
2.960964844E1,-8.673431396E0,-5.537567139E-1,-2.006225586E0
2.970986817E1,-9.288742065E0,-4.627838135E-1,-1.924835205E0
2.981005738E1,-8.795532227E0,-4.172973633E-1,-1.551330566E0
2.991027711E1,-8.948760986E0,-5.824890137E-1,-1.649490356E0
3.001049683E1,-9.109176636E0,-3.167419434E-1,-1.898498535E0
3.011071656E1,-8.867355347E0,-4.795379639E-1,-1.857788086E0
3.021093629E1,-9.295928955E0,-5.657348633E-1,-1.888916016E0
3.031112549E1,-9.204940796E0,-3.478546143E-1,-1.783569336E0
3.041137574E1,-8.850601196E0,-4.963073730E-1,-1.769210815E0
3.051160381E1,-9.403656006E0,-5.058746338E-1,-1.982284546E0
3.061179302E1,-8.963134766E0,-3.694152832E-1,-1.584854126E0
3.071204326E1,-8.972702026E0,-4.268646240E-1,-1.946380615E0
3.081223247E1,-8.922424316E0,-4.986877441E-1,-1.704559326E0
3.091248272E1,-8.891296387E0,-3.741912842E-1,-2.058898926E0
3.101270244E1,-8.762008667E0,-4.555969238E-1,-1.771606445E0
3.111292217E1,-9.082839966E0,-4.603881836E-1,-1.867370605E0
3.121317241E1,-8.630340576E0,-4.340515137E-1,-1.879333496E0
3.131339214E1,-9.300704956E0,-4.316558838E-1,-1.908065796E0
3.141358135E1,-8.728500366E0,-3.837738037E-1,-1.558517456E0
3.151380108E1,-9.231277466E0,-4.340515137E-1,-1.824279785E0
3.161402080E1,-9.331832886E0,-4.627838135E-1,-1.927230835E0
3.171424053E1,-8.807510376E0,-5.489654541E-1,-1.680618286E0
3.181446026E1,-9.439575195E0,-4.555969238E-1,-2.022994995E0
3.191467998E1,-8.824264526E0,-4.196929932E-1,-1.764419556E0
3.201486919E1,-9.116363525E0,-4.436340332E-1,-1.936798096E0
3.211514995E1,-9.202545166E0,-3.981323242E-1,-1.728500366E0
3.221533916E1,-8.999038696E0,-5.322113037E-1,-1.841033936E0
3.231555889E1,-9.542526245E0,-4.699707031E-1,-1.841033936E0
3.241577862E1,-8.496261597E0,-5.106658936E-1,-1.659072876E0
3.251596782E1,-9.475494385E0,-3.478546143E-1,-2.181015015E0
3.261621807E1,-8.651885986E0,-4.771423340E-1,-1.673431396E0
3.271643779E1,-9.118743896E0,-2.975769043E-1,-2.049331665E0
3.281662700E1,-9.011016846E0,-3.837738037E-1,-1.678222656E0
3.291687725E1,-8.764404297E0,-4.579925537E-1,-1.709350586E0
3.301709697E1,-8.989471436E0,-4.029235840E-1,-1.903274536E0
3.311731670E1,-8.845809937E0,-5.178527832E-1,-1.675827026E0
3.321753643E1,-9.231277466E0,-4.555969238E-1,-1.953552246E0
3.331775615E1,-8.845809937E0,-5.824890137E-1,-1.738082886E0
3.341797588E1,-9.324645996E0,-4.627838135E-1,-2.231292725E0
3.351822612E1,-8.821868896E0,-5.058746338E-1,-1.692596436E0
3.361841533E1,-9.106781006E0,-5.370025635E-1,-1.876937866E0
3.371866558E1,-9.200149536E0,-4.220733643E-1,-2.140304565E0
3.381885479E1,-9.003829956E0,-4.771423340E-1,-2.128341675E0
3.391910503E1,-9.178604126E0,-5.178527832E-1,-1.687805176E0
3.401929424E1,-8.977493286E0,-2.688446045E-1,-1.738082886E0
3.411951397E1,-9.487457275E0,-9.200744629E-1,-2.171432495E0
3.421970318E1,-8.630340576E0,-2.042083740E-1,-2.260025024E0
3.431995342E1,-9.171417236E0,-2.353363037E-1,-1.872161865E0
3.442014263E1,-8.975097656E0,-4.532012939E-1,-1.153900146E0
3.452039287E1,-9.142700195E0,-3.598327637E-1,-2.315078735E0
3.462058208E1,-8.936798096E0,-2.664642334E-1,-1.426834106E0
3.472080181E1,-9.027770996E0,-1.563262939E-1,-2.003845215E0
3.482105205E1,-9.092407227E0,-2.688446045E-1,-1.886520386E0
3.492127178E1,-9.377319336E0,-2.904052734E-1,-1.903274536E0
3.502146099E1,-8.682998657E0,4.238891602E-2,-1.165863037E0
