"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.231381605E1,-1.086044312E2,-2.211914062E1,-8.628082275E1
8.241452406E1,-1.086044312E2,-2.141876221E1,-8.448028564E1
8.251523206E1,-1.095046997E2,-2.124938965E1,-8.538055420E1
8.261594007E1,-1.077041626E2,-2.037811279E1,-8.507995605E1
8.271664808E1,-1.050048828E2,-1.778869629E1,-8.598022461E1
8.281735609E1,-1.047042847E2,-1.743927002E1,-8.598022461E1
8.291974256E1,-1.035049438E2,-1.812896729E1,-8.478088379E1
8.301996229E1,-1.038055420E2,-1.674804688E1,-8.598022461E1
8.312018202E1,-1.062042236E2,-1.812896729E1,-8.478088379E1
8.322043226E1,-1.068054199E2,-1.899871826E1,-8.448028564E1
8.332089613E1,-1.065048218E2,-1.899871826E1,-8.507995605E1
8.342160414E1,-1.077041626E2,-1.778869629E1,-8.718109131E1
8.352234266E1,-1.065048218E2,-1.864929199E1,-8.568115234E1
8.362302015E1,-1.062042236E2,-1.864929199E1,-8.507995605E1
8.372372816E1,-1.062042236E2,-1.829833984E1,-8.628082275E1
8.382443617E1,-1.068054199E2,-1.812896729E1,-8.538055420E1
8.392514418E1,-1.053054810E2,-1.951904297E1,-8.418121338E1
8.402719496E1,-1.053054810E2,-1.899871826E1,-8.448028564E1
8.412744520E1,-1.074050903E2,-1.743927002E1,-8.478088379E1
8.422763441E1,-1.071044922E2,-1.812896729E1,-8.358001709E1
8.432797621E1,-1.074050903E2,-1.674804688E1,-8.598022461E1
8.442868421E1,-1.086044312E2,-1.916809082E1,-8.538055420E1
8.452939222E1,-1.098052979E2,-1.864929199E1,-8.388061523E1
8.463010023E1,-1.119049072E2,-1.899871826E1,-8.328094482E1
8.473080824E1,-1.092056274E2,-1.899871826E1,-8.208007812E1
8.483151624E1,-1.089050293E2,-1.812896729E1,-8.178100586E1
8.493222425E1,-1.107055664E2,-1.726837158E1,-8.267974854E1
8.503445814E1,-1.101043701E2,-1.587829590E1,-8.148040771E1
8.513464735E1,-1.098052979E2,-1.483917236E1,-8.267974854E1
8.523483656E1,-1.107055664E2,-1.362915039E1,-8.358001709E1
8.533505628E1,-1.110046387E2,-1.275939941E1,-8.267974854E1
8.543576429E1,-1.113052368E2,-1.258850098E1,-7.998046875E1
8.553647230E1,-1.125045776E2,-1.154937744E1,-7.938079834E1
8.563718031E1,-1.128051758E2,-1.102905273E1,-7.788085938E1
8.573788832E1,-1.125045776E2,-1.050872803E1,-7.878112793E1
8.583859632E1,-1.122055054E2,-9.298706055E0,-7.667999268E1
8.593933485E1,-1.128051758E2,-9.638977051E0,-7.667999268E1
8.604166029E1,-1.134048462E2,-9.468078613E0,-7.758026123E1
8.614191053E1,-1.131042480E2,-9.468078613E0,-7.698059082E1
8.624213026E1,-1.128051758E2,-8.949279785E0,-7.488098145E1
8.634234998E1,-1.131042480E2,-7.388305664E0,-7.518005371E1
8.644284437E1,-1.140045166E2,-7.568359375E0,-7.427978516E1
8.654355238E1,-1.131042480E2,-7.388305664E0,-7.338104248E1
8.664426039E1,-1.122055054E2,-4.798889160E0,-7.608032227E1
8.674496839E1,-1.119049072E2,-5.488586426E0,-7.667999268E1
8.684567640E1,-1.104049683E2,-5.488586426E0,-7.368011475E1
8.694638441E1,-1.095046997E2,-5.139160156E0,-7.368011475E1
8.704709242E1,-1.119049072E2,-3.578186035E0,-7.398071289E1
8.714914320E1,-1.107055664E2,-5.139160156E0,-7.368011475E1
8.724936292E1,-1.116043091E2,-5.308532715E0,-7.638092041E1
8.734958265E1,-1.107055664E2,-5.488586426E0,-7.427978516E1
8.744992445E1,-1.116043091E2,-3.929138184E0,-7.577972412E1
8.755063246E1,-1.104049683E2,-4.798889160E0,-7.427978516E1
8.765134046E1,-1.113052368E2,-6.178283691E0,-7.728118896E1
8.775204847E1,-1.113052368E2,-5.659484863E0,-7.338104248E1
8.785275648E1,-1.113052368E2,-5.308532715E0,-7.577972412E1
8.795346449E1,-1.128051758E2,-7.568359375E0,-7.548065186E1
8.805417250E1,-1.146041870E2,-1.050872803E1,-7.698059082E1
8.815637586E1,-1.143051147E2,-8.949279785E0,-7.427978516E1
8.825659559E1,-1.152053833E2,-8.778381348E0,-7.577972412E1
8.835681532E1,-1.137054443E2,-9.988403320E0,-7.488098145E1
8.845703504E1,-1.143051147E2,-1.067810059E1,-7.667999268E1
8.855771253E1,-1.143051147E2,-9.638977051E0,-7.608032227E1
8.865842054E1,-1.143051147E2,-9.819030762E0,-7.638092041E1
8.875912855E1,-1.140045166E2,-1.085815430E1,-7.817993164E1
8.885983656E1,-1.146041870E2,-1.067810059E1,-7.788085938E1
8.896054456E1,-1.140045166E2,-9.819030762E0,-7.518005371E1
8.906125257E1,-1.161056519E2,-8.609008789E0,-7.728118896E1
8.916360853E1,-1.152053833E2,-8.949279785E0,-7.788085938E1
8.926382826E1,-1.146041870E2,-8.609008789E0,-7.667999268E1
8.936407850E1,-1.131042480E2,-8.949279785E0,-7.608032227E1
8.946423719E1,-1.119049072E2,-1.033935547E1,-7.548065186E1
8.956479261E1,-1.116043091E2,-9.819030762E0,-7.518005371E1
8.966547010E1,-1.107055664E2,-1.015930176E1,-7.398071289E1
8.976617811E1,-1.101043701E2,-1.033935547E1,-7.608032227E1
8.986691664E1,-1.092056274E2,-1.189880371E1,-7.518005371E1
8.996762464E1,-1.089050293E2,-1.154937744E1,-7.518005371E1
9.006833265E1,-1.101043701E2,-1.241912842E1,-7.488098145E1
9.017087171E1,-1.101043701E2,-1.345825195E1,-7.548065186E1
9.027106092E1,-1.107055664E2,-1.189880371E1,-7.277984619E1
9.037131117E1,-1.095046997E2,-1.206817627E1,-7.548065186E1
9.047154908E1,-1.089050293E2,-1.171875000E1,-7.368011475E1
9.057189087E1,-1.083053589E2,-1.119842529E1,-7.398071289E1
9.067259888E1,-1.080047607E2,-9.988403320E0,-7.848052979E1
9.077330689E1,-1.092056274E2,-1.015930176E1,-7.518005371E1
9.087401490E1,-1.089050293E2,-1.067810059E1,-7.667999268E1
9.097472291E1,-1.095046997E2,-9.638977051E0,-7.608032227E1
9.107543091E1,-1.089050293E2,-8.088684082E0,-7.938079834E1
9.117613892E1,-1.092056274E2,-8.609008789E0,-7.967987061E1
9.127828125E1,-1.095046997E2,-8.258056641E0,-7.788085938E1
9.137856202E1,-1.080047607E2,-9.468078613E0,-7.938079834E1
9.147878174E1,-1.080047607E2,-8.778381348E0,-7.758026123E1
9.157900147E1,-1.074050903E2,-8.949279785E0,-7.967987061E1
9.167967896E1,-1.080047607E2,-9.129333496E0,-7.878112793E1
9.178038697E1,-1.053054810E2,-9.129333496E0,-7.878112793E1
9.188109498E1,-1.053054810E2,-1.189880371E1,-7.638092041E1
9.198180298E1,-1.056045532E2,-1.137847900E1,-7.967987061E1
9.208251099E1,-1.080047607E2,-1.310882568E1,-7.788085938E1
9.218324952E1,-1.056045532E2,-1.396942139E1,-7.817993164E1
9.228557496E1,-1.065048218E2,-1.275939941E1,-7.667999268E1
9.238582520E1,-1.044052124E2,-1.171875000E1,-7.967987061E1
9.248604493E1,-1.041046143E2,-1.137847900E1,-7.728118896E1
9.258623414E1,-1.035049438E2,-1.015930176E1,-8.058013916E1
9.268675904E1,-1.023056030E2,-1.085815430E1,-7.878112793E1
